day_of_week,season,total_workers,cutting_workers,sewing_workers,finishing_workers,absent_workers,,,overtime_hours,cutting_output,sewing_output,finishing_output,final_output,daily_target,defect_rate,rework_percentage,machine_utilization,equipment_downtime,cutting_quality,sewing_quality,finishing_quality,workflow_blocked,bottleneck_department,reallocated_workers,diversion_success,productivity_gap,target_achieved,absence_rate
1,off-peak,56,9,35,12,5,,,2.4,224,534,260,206,153,0.0246,0.0718,0.8264,0,0.9254,0.8898,0.959,1,Cutting,5,1,53,1,0.081967213
2,off-peak,59,13,35,11,4,,,1.54,347,542,302,279,132,0.0149,0.0853,0.9262,0,0.9772,0.895,0.9727,1,Finishing,5,1,147,1,0.063492063
3,off-peak,62,14,34,14,2,,,2.26,312,442,305,285,180,0.0198,0.0742,0.7637,0,0.984,0.8647,0.9682,1,Finishing,4,1,105,1,0.03125
4,off-peak,61,13,34,14,8,,,1.87,297,483,315,269,150,0.0178,0.0982,0.8017,0,0.9468,0.9533,0.9411,1,Finishing,2,1,119,1,0.115942029
5,off-peak,72,12,49,11,7,,,2.34,290,730,255,243,128,0.0176,0.0539,0.8424,0,0.944,0.923,0.9066,1,Finishing,4,1,115,1,0.088607595
6,off-peak,69,17,37,15,7,,,0.46,367,605,379,338,123,0.0102,0.0828,0.8671,0,0.9804,0.8712,0.9731,1,Finishing,2,1,215,1,0.092105263
0,off-peak,50,9,33,8,8,,,1.16,160,385,170,157,116,0.0216,0.0223,0.7199,0,0.9234,0.9082,0.9401,1,Finishing,3,1,41,1,0.137931034
1,off-peak,67,16,37,14,4,,,0,336,506,326,302,174,0.0164,0.0747,0.826,0,0.9581,0.8869,0.9854,1,Cutting,2,1,128,1,0.056338028
2,off-peak,54,9,32,13,10,,,2.53,189,465,244,174,159,0.0296,0.0642,0.7101,0,0.984,0.9583,0.9268,1,Cutting,0,0,15,1,0.15625
3,off-peak,61,15,34,12,4,,,0,297,493,275,256,140,0.0153,0.0773,0.8206,0,0.9692,0.8588,0.9174,1,Finishing,2,1,116,1,0.061538462
4,off-peak,74,18,40,16,7,,,1.09,378,601,334,304,188,0.0179,0.0907,0.7991,0,0.9686,0.9136,0.9461,1,Finishing,0,0,116,1,0.086419753
5,off-peak,46,7,29,10,13,,,1.31,191,499,248,169,87,0.0164,0.0894,0.9124,0,0.9536,0.8985,0.9444,1,Cutting,5,1,82,1,0.220338983
6,off-peak,61,9,40,12,4,,,1.36,213,768,279,198,94,0.0141,0.0549,0.8945,0,0.9789,0.9254,0.9557,1,Cutting,0,0,104,1,0.061538462
0,off-peak,75,13,51,11,8,,,1.99,310,785,262,234,172,0.024,0.1171,0.8565,0,0.9305,0.911,0.9454,1,Finishing,2,1,62,1,0.096385542
1,off-peak,54,10,35,9,7,,,3.18,279,656,230,224,116,0.0183,0.0301,0.8785,0,0.9337,0.9397,0.9351,1,Finishing,4,1,108,1,0.114754098
2,off-peak,57,9,37,11,7,,,3.42,218,658,212,192,124,0.0212,0.0972,0.7699,0,0.9289,0.9331,0.9068,1,Finishing,0,0,68,1,0.109375
3,off-peak,58,9,36,13,5,,,1.85,221,641,286,215,135,0.0181,0.024,0.8519,0,0.9483,0.8793,0.9231,1,Cutting,0,0,80,1,0.079365079
4,off-peak,51,11,29,11,4,,,0.07,234,415,216,209,137,0.0188,0.0338,0.7996,0,0.9548,0.9368,0.9011,1,Cutting,4,1,72,1,0.072727273
5,off-peak,63,14,34,15,4,,,3.94,356,532,310,287,111,0.0129,0.0743,0.7679,0,0.9349,0.9285,0.9453,1,Finishing,0,0,176,1,0.059701493
6,off-peak,51,12,30,9,4,,,1.24,283,481,211,192,101,0.0173,0.0984,0.8235,0,0.9873,0.9501,0.9439,1,Finishing,3,1,91,1,0.072727273
0,off-peak,55,10,34,11,8,,,1.65,244,451,231,208,129,0.0183,0.1031,0.796,0,0.9785,0.8693,0.9411,1,Cutting,2,1,79,1,0.126984127
1,off-peak,51,8,36,7,5,,,0.96,170,573,170,159,136,0.028,0.0708,0.8432,0,0.955,0.9612,0.9478,1,Finishing,3,1,23,1,0.089285714
2,off-peak,73,16,43,14,5,,,3.91,402,618,268,248,193,0.026,0.0781,0.7235,0,0.9866,0.9309,0.9636,1,Finishing,0,0,55,1,0.064102564
3,off-peak,62,11,42,9,8,,,0.44,225,674,211,188,179,0.0278,0.119,0.8305,0,0.9252,0.875,0.9756,1,Finishing,4,1,9,1,0.114285714
4,off-peak,71,11,44,16,9,,,2.44,269,682,316,243,195,0.0267,0.0839,0.7841,0,0.9348,0.8907,0.9161,1,Cutting,2,1,48,1,0.1125
5,off-peak,75,11,48,16,6,,,1.59,247,722,303,240,154,0.0196,0.0244,0.7282,0,0.9604,0.8553,0.9475,1,Cutting,2,1,86,1,0.074074074
6,off-peak,77,14,49,14,6,,,0,262,699,271,237,130,0.0141,0.0953,0.7799,0,0.9614,0.8594,0.9133,1,Cutting,0,0,107,1,0.072289157
0,off-peak,58,8,38,12,9,,,1.95,228,617,288,194,133,0.0227,0.1186,0.8816,0,0.9785,0.904,0.9688,1,Cutting,3,1,61,1,0.134328358
1,off-peak,49,11,30,8,6,,,1.67,267,543,187,173,104,0.0174,0.0793,0.8868,0,0.9418,0.8898,0.9754,1,Finishing,0,0,69,1,0.109090909
2,off-peak,57,10,37,10,6,,,3.49,284,580,253,243,148,0.0197,0.0437,0.8989,0,0.9438,0.8508,0.9432,1,Finishing,5,1,95,1,0.095238095
3,off-peak,57,10,33,14,2,,,3.11,319,646,349,308,161,0.0181,0.0341,0.9321,0,0.9238,0.9048,0.9637,1,Cutting,3,1,147,1,0.033898305
4,off-peak,55,11,32,12,1,,,0.1,226,378,230,219,160,0.0225,0.0329,0.7753,0,0.9524,0.9279,0.9154,1,Cutting,5,1,59,1,0.017857143
5,off-peak,58,13,35,10,5,,,3.77,354,557,211,197,96,0.0163,0.0704,0.7979,0,0.9699,0.9357,0.9562,1,Finishing,0,0,101,1,0.079365079
6,off-peak,51,7,35,9,4,,,3.6,185,626,198,169,81,0.0151,0.0879,0.7721,0,0.9647,0.8873,0.9264,1,Finishing,2,1,88,1,0.072727273
0,off-peak,68,15,43,10,14,,,1,347,673,255,231,193,0.0267,0.1055,0.9002,0,0.9518,0.9372,0.9287,1,Finishing,4,1,38,1,0.170731707
1,off-peak,75,14,47,14,5,,,1.25,343,741,314,279,168,0.0174,0.113,0.8417,0,0.9448,0.8995,0.9371,1,Cutting,5,1,111,1,0.0625
2,off-peak,73,13,48,12,6,,,0.82,306,688,302,274,162,0.0181,0.1021,0.9096,0,0.953,0.9034,0.9213,1,Finishing,4,1,112,1,0.075949367
3,off-peak,70,11,44,15,6,,,1.97,277,582,312,259,173,0.0211,0.0602,0.8026,0,0.9362,0.8677,0.9177,1,Cutting,5,1,86,1,0.078947368
4,off-peak,62,9,39,14,2,,,1.84,173,450,258,154,137,0.0256,0.075,0.7039,0,0.9505,0.8792,0.935,1,Cutting,0,0,17,1,0.03125
5,off-peak,58,14,33,11,9,,,2.73,362,554,240,228,107,0.0151,0.0525,0.8227,0,0.9794,0.9418,0.9441,1,Finishing,0,0,121,1,0.134328358
6,off-peak,67,12,43,12,10,,,0.38,241,539,255,220,112,0.0132,0.0848,0.8344,0,0.9235,0.8503,0.922,1,Cutting,0,0,108,1,0.12987013
0,off-peak,67,14,43,10,9,,,0,282,626,239,225,166,0.0212,0.0675,0.8492,0,0.9436,0.8841,0.911,1,Finishing,3,1,59,1,0.118421053
1,off-peak,68,16,36,16,8,,,3.64,380,566,336,326,168,0.0169,0.035,0.7158,0,0.9622,0.8574,0.9804,1,Finishing,4,1,158,1,0.105263158
2,off-peak,52,12,32,8,6,,,0.82,296,599,223,211,138,0.0192,0.0611,0.9457,0,0.9646,0.871,0.9815,1,Finishing,2,1,73,1,0.103448276
3,off-peak,60,13,37,10,9,,,2.22,340,651,246,228,158,0.0221,0.0827,0.9097,0,0.9658,0.8797,0.9247,1,Finishing,4,1,70,1,0.130434783
4,off-peak,74,16,47,11,5,,,2.58,396,800,289,263,212,0.0278,0.0972,0.8685,0,0.924,0.9375,0.9759,1,Finishing,4,1,51,1,0.063291139
5,off-peak,70,12,46,12,6,,,1.29,304,696,308,276,147,0.0156,0.0994,0.8941,0,0.9775,0.8577,0.955,1,Finishing,3,1,129,1,0.078947368
6,off-peak,67,10,44,13,11,,,3.91,242,696,244,230,129,0.0188,0.0558,0.7078,0,0.9809,0.868,0.9115,1,Finishing,2,1,101,1,0.141025641
0,off-peak,68,11,41,16,11,,,2.29,278,726,347,243,190,0.0257,0.1033,0.835,0.62,0.9347,0.8813,0.9117,1,Cutting,3,1,53,1,0.139240506
1,off-peak,75,18,44,13,7,,,2.9,530,812,365,326,175,0.0172,0.1176,0.9377,0,0.9711,0.8568,0.9796,1,Finishing,2,1,151,1,0.085365854
2,off-peak,54,8,37,9,3,,,3.07,214,667,204,181,139,0.0243,0.1174,0.8511,0,0.9339,0.9143,0.9668,1,Finishing,0,0,42,1,0.052631579
3,off-peak,71,12,48,11,5,,,0.48,216,581,236,197,177,0.0239,0.0809,0.7708,0,0.92,0.8665,0.984,1,Cutting,0,0,20,1,0.065789474
4,off-peak,54,10,31,13,5,,,0.5,200,385,227,177,156,0.0284,0.1024,0.7091,0,0.9586,0.9421,0.9103,1,Cutting,5,1,21,1,0.084745763
5,off-peak,70,13,44,13,8,,,3.81,380,948,351,324,135,0.0138,0.0851,0.9344,0,0.9264,0.8525,0.9725,1,Finishing,4,1,189,1,0.102564103
6,off-peak,70,12,43,15,7,,,0,235,476,311,208,144,0.0204,0.0895,0.7722,0,0.9304,0.8813,0.9843,1,Cutting,3,1,64,1,0.090909091
0,off-peak,64,11,40,13,7,,,0,225,623,285,198,174,0.0266,0.0961,0.8016,0,0.974,0.9066,0.9852,1,Cutting,5,1,24,1,0.098591549
1,off-peak,61,13,33,15,5,,,3.53,326,483,320,299,165,0.0189,0.0727,0.7875,0,0.9586,0.8967,0.9113,1,Finishing,5,1,134,1,0.075757576
2,off-peak,80,18,45,17,4,,,1.22,389,767,369,328,229,0.0199,0.1121,0.8133,0,0.9679,0.8968,0.9601,1,Finishing,0,0,99,1,0.047619048
3,off-peak,67,15,41,11,5,,,2.91,317,630,219,208,178,0.0295,0.0542,0.7087,0,0.9424,0.9276,0.9544,1,Finishing,4,1,30,1,0.069444444
4,off-peak,76,12,53,11,7,,,0.79,281,1012,302,251,203,0.0235,0.1098,0.9184,0,0.9431,0.9264,0.9763,1,Finishing,5,1,48,1,0.084337349
5,off-peak,68,15,38,15,4,,,2.12,346,541,331,315,100,0.01,0.0538,0.8199,0,0.956,0.8812,0.9112,1,Finishing,4,1,215,1,0.055555556
6,off-peak,74,17,39,18,3,,,1.85,388,697,375,343,133,0.012,0.0873,0.8237,0,0.9292,0.9405,0.9185,1,Finishing,0,0,210,1,0.038961039
0,off-peak,64,10,42,12,11,,,0.58,215,654,252,191,143,0.0221,0.0953,0.8157,0,0.975,0.9568,0.9499,1,Cutting,0,0,48,1,0.146666667
1,off-peak,62,14,39,9,4,,,2.32,384,669,226,210,146,0.0214,0.0717,0.923,0,0.9529,0.9186,0.99,1,Finishing,0,0,64,1,0.060606061
2,off-peak,54,8,38,8,6,,,0.68,163,540,157,144,129,0.0254,0.0863,0.7734,0,0.9394,0.915,0.9145,1,Finishing,0,0,15,1,0.1
3,off-peak,77,14,47,16,7,,,0.65,287,739,307,253,178,0.0225,0.1132,0.7439,0,0.9245,0.9251,0.9322,1,Cutting,3,1,75,1,0.083333333
4,off-peak,63,12,42,9,5,,,0.1,228,595,221,206,141,0.0192,0.0772,0.813,0,0.9293,0.8562,0.9698,1,Finishing,5,1,65,1,0.073529412
5,off-peak,74,13,45,16,6,,,1.49,279,644,290,262,121,0.016,0.0614,0.716,0,0.9804,0.975,0.9222,1,Cutting,2,1,141,1,0.075
6,off-peak,61,12,39,10,6,,,1.7,251,562,214,191,87,0.0146,0.1157,0.7288,0,0.9686,0.9074,0.985,1,Finishing,4,1,104,1,0.089552239
0,off-peak,56,11,32,13,11,,,0,192,462,252,174,166,0.026,0.0723,0.755,0,0.9397,0.9077,0.9154,1,Cutting,0,0,8,1,0.164179104
1,off-peak,44,10,24,10,17,,,2.86,268,544,275,249,96,0.0133,0.0756,0.9336,0,0.926,0.9539,0.9809,1,Finishing,2,1,153,1,0.278688525
2,off-peak,52,12,29,11,5,,,2.88,277,414,254,240,126,0.0182,0.0614,0.772,0,0.933,0.9347,0.9641,1,Finishing,4,1,114,1,0.087719298
3,off-peak,66,12,44,10,8,,,1.22,250,717,213,199,192,0.0324,0.0741,0.7979,0,0.9635,0.9759,0.9085,1,Finishing,2,1,7,1,0.108108108
4,off-peak,61,13,34,14,7,,,1.76,329,665,351,321,172,0.0159,0.0266,0.9008,0,0.9462,0.9005,0.9086,1,Finishing,3,1,149,1,0.102941176
5,off-peak,58,13,32,13,8,,,2.02,300,475,300,286,123,0.0124,0.0469,0.822,0,0.942,0.8763,0.9857,1,Cutting,0,0,163,1,0.121212121
6,off-peak,68,12,46,10,7,,,1.75,299,891,267,262,107,0.0137,0.021,0.9012,0,0.9297,0.9509,0.9718,1,Finishing,4,1,155,1,0.093333333
0,off-peak,59,9,39,11,8,,,0,196,712,255,168,158,0.0263,0.1111,0.9198,0,0.9541,0.932,0.9072,1,Cutting,0,0,10,1,0.119402985
1,off-peak,71,17,43,11,9,,,0,384,742,289,277,158,0.0164,0.044,0.9465,0,0.9646,0.9584,0.972,1,Finishing,0,0,119,1,0.1125
2,peak,54,11,30,13,6,,,5.33,298,606,266,250,188,0.0263,0.0608,0.7689,0,0.9386,0.9197,0.9404,1,Finishing,0,0,62,1,0.1
3,peak,61,9,41,11,5,,,5.18,258,817,232,224,212,0.0306,0.0372,0.8084,0,0.9488,0.8546,0.9448,1,Finishing,0,0,12,1,0.075757576
4,peak,67,13,41,13,5,,,0,276,621,292,251,237,0.0268,0.0887,0.8334,0,0.9301,0.8512,0.9727,1,Cutting,3,1,14,1,0.069444444
5,peak,72,13,44,15,4,,,0.03,207,538,258,186,160,0.0234,0.0848,0.6542,0.69,0.9839,0.904,0.9414,1,Cutting,0,0,26,1,0.052631579
6,peak,60,10,38,12,7,,,4.66,312,782,315,300,169,0.021,0.042,0.9113,0,0.9568,0.9399,0.9795,1,Finishing,5,1,131,1,0.104477612
0,peak,55,9,35,11,11,,,1.8,226,528,225,217,175,0.026,0.036,0.7965,0,0.9887,0.9008,0.9072,1,Cutting,4,1,42,1,0.166666667
1,peak,45,10,27,8,11,,,7.82,331,617,160,146,175,0.052,0.1006,0.7434,0,0.987,0.9611,0.9207,1,Finishing,5,1,-29,0,0.196428571
2,peak,74,12,48,14,6,,,0.3,252,753,303,242,269,0.0303,0.0343,0.8338,0,0.9693,0.8941,0.91,1,Cutting,0,0,-27,0,0.075
3,peak,74,14,46,14,6,,,3.84,377,826,293,283,262,0.0297,0.0358,0.8273,0,0.9639,0.8963,0.9291,1,Finishing,0,0,21,1,0.075
4,peak,63,12,37,14,3,,,0.99,246,519,270,221,234,0.0355,0.0959,0.7508,0,0.9481,0.9599,0.9312,1,Cutting,5,1,-13,0,0.045454545
5,peak,55,8,39,8,2,,,5.8,271,812,208,199,120,0.0217,0.0509,0.9105,0,0.9608,0.858,0.959,1,Finishing,5,1,79,1,0.035087719
6,peak,79,18,48,13,5,,,4.65,605,845,351,329,185,0.0194,0.0682,0.9481,0,0.9657,0.858,0.9473,1,Finishing,4,1,144,1,0.05952381
0,peak,55,10,36,9,4,,,7.4,312,674,190,171,212,0.0522,0.1117,0.7502,0,0.9516,0.9399,0.9574,1,Finishing,4,1,-41,0,0.06779661
1,peak,74,12,47,15,7,,,1.46,314,766,342,279,245,0.028,0.1049,0.8812,0,0.9689,0.8904,0.909,1,Cutting,5,1,34,1,0.086419753
2,peak,60,9,37,14,3,,,4.39,301,775,317,268,187,0.0264,0.1072,0.8567,0,0.9647,0.9317,0.9498,1,Cutting,5,1,81,1,0.047619048
3,peak,77,16,44,17,7,,,2.28,397,760,407,382,277,0.0225,0.0371,0.8804,0,0.9204,0.927,0.9763,1,Cutting,0,0,105,1,0.083333333
4,peak,68,14,42,12,4,,,7.53,448,848,258,249,245,0.0389,0.037,0.7665,0,0.9351,0.9573,0.9888,1,Finishing,0,0,4,1,0.055555556
5,peak,57,11,37,9,3,,,3.7,258,590,179,174,129,0.0267,0.0316,0.7029,0,0.959,0.936,0.9533,1,Finishing,2,1,45,1,0.05
6,peak,75,16,43,16,1,,,4.65,485,871,395,367,202,0.0188,0.0788,0.8594,0,0.9587,0.8515,0.9627,1,Finishing,4,1,165,1,0.013157895
0,peak,72,14,47,11,11,,,5.76,468,992,254,246,255,0.0373,0.0318,0.8812,0,0.9505,0.9319,0.9307,1,Finishing,0,0,-9,0,0.13253012
1,peak,73,17,45,11,5,,,6.25,519,938,231,210,257,0.0479,0.1008,0.7681,0,0.981,0.913,0.9275,1,Finishing,5,1,-47,0,0.064102564
2,peak,79,14,47,18,4,,,4.29,431,802,438,422,263,0.0209,0.023,0.8585,0,0.9889,0.868,0.9387,1,Finishing,3,1,159,1,0.048192771
3,peak,72,13,48,11,10,,,8.29,425,943,244,234,239,0.0411,0.0453,0.7571,0,0.9354,0.8762,0.983,1,Finishing,4,1,-5,0,0.12195122
4,peak,77,15,50,12,4,,,6.3,509,1150,301,275,275,0.0383,0.0934,0.8807,0,0.9343,0.8939,0.9423,1,Finishing,3,1,0,1,0.049382716
5,peak,50,9,34,7,9,,,4.47,290,770,187,172,145,0.0307,0.0916,0.9277,0,0.977,0.9176,0.9694,1,Finishing,3,1,27,1,0.152542373
6,peak,74,14,47,13,4,,,6.49,455,977,298,280,202,0.028,0.0628,0.8189,0,0.9622,0.9782,0.9844,1,Finishing,0,0,78,1,0.051282051
0,peak,45,9,27,9,10,,,6.11,270,531,194,184,137,0.0301,0.0605,0.7631,0,0.9611,0.9535,0.9428,1,Finishing,2,1,47,1,0.181818182
1,peak,57,10,36,11,7,,,1.81,205,464,212,197,212,0.032,0.044,0.7337,0,0.9547,0.872,0.9114,1,Finishing,3,1,-15,0,0.109375
2,peak,64,15,35,14,8,,,5.09,431,644,333,303,197,0.0253,0.0998,0.8096,0,0.9221,0.9502,0.956,1,Finishing,5,1,106,1,0.111111111
3,peak,52,8,33,11,5,,,5.41,235,512,245,207,169,0.0265,0.116,0.7932,0.98,0.9833,0.852,0.984,1,Cutting,0,0,38,1,0.087719298
4,peak,50,10,31,9,5,,,5.3,276,608,217,207,199,0.0365,0.0518,0.7938,0,0.9369,0.9221,0.9717,1,Finishing,3,1,8,1,0.090909091
5,peak,55,11,33,11,7,,,3.6,293,621,238,218,129,0.0197,0.0934,0.8121,0,0.9379,0.8656,0.9089,1,Finishing,3,1,89,1,0.112903226
6,peak,71,13,48,10,3,,,6.36,413,928,236,213,176,0.0311,0.1077,0.8223,0,0.9515,0.8759,0.9277,1,Finishing,3,1,37,1,0.040540541
0,peak,62,14,38,10,11,,,3.43,411,672,261,238,193,0.0286,0.0958,0.8913,0,0.975,0.9237,0.9862,1,Finishing,3,1,45,1,0.150684932
1,peak,50,10,33,7,9,,,0.27,233,586,192,172,187,0.0336,0.1169,0.9337,0,0.9789,0.9337,0.9548,1,Finishing,2,1,-15,0,0.152542373
2,peak,70,16,38,16,5,,,5.47,440,730,365,347,253,0.0264,0.0551,0.7852,0,0.9245,0.8733,0.9689,1,Finishing,3,1,94,1,0.066666667
3,peak,57,9,35,13,8,,,3.37,250,655,265,236,200,0.027,0.0538,0.8247,0,0.9892,0.9101,0.9067,1,Cutting,0,0,36,1,0.123076923
4,peak,65,14,39,12,4,,,2.12,357,803,289,259,206,0.0253,0.1064,0.8685,0,0.9579,0.9596,0.9686,1,Finishing,0,0,53,1,0.057971014
5,peak,62,14,38,10,8,,,1.74,292,596,222,213,170,0.0259,0.0445,0.7472,0,0.9279,0.9211,0.9638,1,Finishing,5,1,43,1,0.114285714
6,peak,63,14,40,9,7,,,2.63,287,636,182,164,175,0.0385,0.1112,0.7074,0,0.9325,0.9782,0.9644,1,Finishing,3,1,-11,0,0.1
0,peak,64,14,40,10,8,,,3.9,389,667,241,235,224,0.0322,0.0296,0.8316,0,0.9477,0.8734,0.9757,1,Finishing,5,1,11,1,0.111111111
1,peak,70,15,40,15,5,,,0.7,279,517,287,247,246,0.0263,0.1149,0.7354,0,0.9784,0.8511,0.9192,1,Cutting,0,0,1,1,0.066666667
2,peak,74,17,40,17,7,,,2.22,429,575,401,385,242,0.0197,0.0438,0.844,0,0.9688,0.8714,0.9134,1,Finishing,5,1,143,1,0.086419753
3,peak,65,10,45,10,2,,,7.5,381,1220,271,250,222,0.0358,0.0862,0.9149,0,0.9379,0.8994,0.9784,1,Finishing,5,1,28,1,0.029850746
4,peak,55,13,29,13,3,,,3.28,297,512,271,264,188,0.0249,0.0306,0.7422,0,0.9421,0.9272,0.9581,1,Finishing,5,1,76,1,0.051724138
5,peak,76,12,52,12,6,,,0,276,826,282,244,200,0.0263,0.1156,0.8776,0,0.9319,0.9582,0.9515,1,Cutting,2,1,44,1,0.073170732
6,peak,73,14,42,17,8,,,0,314,538,384,282,154,0.0156,0.0842,0.8361,0,0.9573,0.8599,0.9628,1,Cutting,3,1,128,1,0.098765432
0,peak,74,18,40,16,10,,,0.4,350,546,317,292,243,0.0248,0.0804,0.7894,0,0.9711,0.9753,0.914,1,Finishing,0,0,49,1,0.119047619
1,peak,60,10,40,10,3,,,4.54,300,684,235,226,188,0.0286,0.0448,0.8176,0,0.9868,0.865,0.9852,1,Finishing,5,1,38,1,0.047619048
2,peak,79,18,49,12,5,,,5.32,607,1002,319,293,275,0.037,0.0887,0.9227,0,0.9547,0.9572,0.9362,1,Finishing,3,1,18,1,0.05952381
3,peak,67,11,45,11,5,,,2.69,241,659,227,208,228,0.0367,0.0939,0.7171,0,0.9558,0.9092,0.969,1,Finishing,2,1,-20,0,0.069444444
4,peak,73,11,50,12,4,,,6.9,386,1239,277,265,251,0.0365,0.0446,0.8634,0,0.9742,0.9558,0.9444,1,Finishing,0,0,14,1,0.051948052
5,peak,58,12,32,14,7,,,4.18,379,758,376,356,138,0.014,0.0585,0.9295,0,0.9471,0.9231,0.9723,1,Finishing,2,1,218,1,0.107692308
6,peak,52,9,32,11,4,,,7.3,294,652,260,251,143,0.0219,0.0401,0.8253,0,0.9425,0.8672,0.9339,1,Finishing,5,1,108,1,0.071428571
0,peak,60,14,35,11,6,,,8.44,465,596,237,220,186,0.0334,0.0779,0.7638,0,0.9384,0.8551,0.9275,1,Finishing,4,1,34,1,0.090909091
1,peak,66,10,44,12,7,,,6.14,308,917,270,255,234,0.0336,0.0613,0.7814,0,0.9705,0.8597,0.9823,1,Finishing,2,1,21,1,0.095890411
2,peak,74,14,43,17,6,,,3.41,350,793,357,309,271,0.027,0.1166,0.8002,0,0.9345,0.876,0.9456,1,Cutting,0,0,38,1,0.075
3,peak,63,10,40,13,5,,,1.75,209,650,269,200,243,0.0374,0.0338,0.768,0,0.9319,0.9434,0.9693,1,Cutting,0,0,-43,0,0.073529412
4,peak,71,11,49,11,7,,,5.49,339,974,260,242,258,0.0363,0.0718,0.8716,0,0.9213,0.8905,0.9574,1,Finishing,0,0,-16,0,0.08974359
5,peak,58,8,36,14,6,,,1.01,193,608,338,182,152,0.0226,0.0347,0.9463,0,0.9373,0.8604,0.9063,1,Cutting,0,0,30,1,0.09375
6,peak,54,11,31,12,9,,,6.12,323,662,259,240,158,0.0257,0.0815,0.7463,0,0.9677,0.9193,0.9463,1,Finishing,5,1,82,1,0.142857143
0,peak,52,8,33,11,11,,,2.99,212,629,241,200,157,0.0264,0.0527,0.8294,0,0.921,0.8844,0.9463,1,Cutting,2,1,43,1,0.174603175
1,peak,61,13,36,12,7,,,6.88,404,722,254,249,229,0.0341,0.0222,0.7649,0,0.9663,0.8542,0.9075,1,Finishing,3,1,20,1,0.102941176
2,peak,53,11,33,9,5,,,4.87,291,675,187,183,177,0.0318,0.0215,0.7911,0,0.9208,0.8824,0.9647,1,Finishing,0,0,6,1,0.086206897
3,peak,69,16,36,17,8,,,3.05,360,585,313,289,226,0.023,0.0774,0.7212,0,0.9636,0.8509,0.9039,1,Finishing,0,0,63,1,0.103896104
4,peak,54,9,37,8,6,,,6.45,317,740,193,181,204,0.0433,0.0717,0.8821,0,0.9651,0.8936,0.9031,1,Finishing,5,1,-23,0,0.1
5,peak,70,13,42,15,6,,,5.81,452,892,412,397,186,0.0184,0.0415,0.934,0,0.9238,0.9375,0.9802,1,Finishing,5,1,211,1,0.078947368
6,peak,62,9,40,13,10,,,6.42,278,965,293,268,140,0.0206,0.0369,0.8184,0,0.9488,0.9709,0.9309,1,Finishing,5,1,128,1,0.138888889
0,peak,64,12,42,10,13,,,3.77,356,868,249,227,212,0.031,0.0887,0.9175,0,0.9623,0.9298,0.9479,1,Finishing,0,0,15,1,0.168831169
1,peak,49,11,26,12,9,,,4.04,346,429,295,278,171,0.0206,0.0627,0.8873,0,0.9857,0.857,0.9011,1,Finishing,3,1,107,1,0.155172414
2,peak,78,16,48,14,4,,,0.55,365,936,339,320,265,0.0249,0.0562,0.9004,0,0.9754,0.9771,0.9708,1,Finishing,0,0,55,1,0.048780488
3,peak,71,13,44,14,1,,,7.97,462,1051,311,292,262,0.0366,0.0639,0.8213,0,0.9781,0.9736,0.9571,1,Finishing,0,0,30,1,0.013888889
4,peak,71,15,44,12,5,,,0.93,287,581,259,237,238,0.0331,0.0943,0.7312,0,0.98,0.9667,0.9852,1,Finishing,5,1,-1,0,0.065789474
5,peak,63,9,41,13,5,,,6.76,281,857,285,259,140,0.0202,0.0804,0.8225,0,0.9223,0.9312,0.9375,1,Cutting,0,0,119,1,0.073529412
6,peak,51,8,31,12,10,,,7.31,322,890,331,299,122,0.0171,0.0763,0.9439,0,0.9631,0.9717,0.9863,1,Finishing,2,1,177,1,0.163934426
0,peak,64,13,39,12,7,,,0.35,309,663,289,261,236,0.0275,0.0975,0.9025,0,0.9522,0.9675,0.9369,1,Cutting,2,1,25,1,0.098591549
1,peak,49,8,33,8,10,,,5.63,272,793,195,188,159,0.0307,0.0403,0.9046,0,0.9893,0.875,0.9078,1,Finishing,4,1,29,1,0.169491525
2,peak,64,11,39,14,5,,,5.42,353,875,338,320,203,0.0231,0.0583,0.8893,0,0.9359,0.8788,0.9145,1,Finishing,2,1,117,1,0.072463768
3,peak,66,13,40,13,5,,,1.91,309,586,302,279,224,0.025,0.0825,0.828,0,0.9424,0.8718,0.9237,1,Finishing,2,1,55,1,0.070422535
4,peak,68,15,43,10,4,,,3.43,402,718,238,224,254,0.04,0.064,0.8233,0,0.9793,0.9281,0.9614,1,Finishing,5,1,-30,0,0.055555556
5,peak,54,11,32,11,4,,,0.12,258,497,275,240,113,0.0144,0.0677,0.895,0,0.9749,0.9175,0.9772,1,Cutting,5,1,127,1,0.068965517
6,peak,56,9,34,13,6,,,6.47,301,734,282,262,151,0.0221,0.0719,0.8297,0,0.9224,0.9377,0.9364,1,Cutting,2,1,111,1,0.096774194
0,peak,61,12,36,13,6,,,3.28,308,564,295,285,189,0.0233,0.0388,0.797,0,0.9463,0.9332,0.9445,1,Finishing,2,1,96,1,0.089552239
1,peak,53,12,30,11,5,,,4.53,318,528,235,221,210,0.033,0.0678,0.7764,0,0.9425,0.8708,0.9185,1,Finishing,2,1,11,1,0.086206897
2,peak,54,12,30,12,6,,,3.93,292,584,265,256,196,0.0286,0.0394,0.7707,0,0.9367,0.9638,0.9781,1,Finishing,5,1,60,1,0.1
3,peak,69,13,39,17,6,,,0.02,237,415,293,203,215,0.0317,0.1184,0.7029,0.68,0.9554,0.8937,0.9654,1,Cutting,3,1,-12,0,0.08
