total_workers,cutting_workers,sewing_workers,finishing_workers,absent_workers,cutting_output,sewing_output,finishing_output,final_output,daily_target,workflow_blocked,bottleneck_department,reallocated_workers,diversion_success,targeted_productivity_gain,target_achieved
150,42,44,64,6,1626,1474,2793,1474,1430,0,sewing,0,0,2,1
146,22,86,38,20,763,3680,1390,763,876,1,cutting,5,1,8,0
147,23,79,45,34,576,2487,1501,576,657,1,cutting,6,1,4,0
153,63,51,39,37,2128,1367,1201,1201,1061,0,finishing,0,0,-2,1
156,50,68,38,11,2159,2364,1417,1417,1471,1,finishing,0,0,-4,0
177,56,54,67,6,2645,2353,2529,2353,2562,1,sewing,8,1,9,0
157,46,88,23,33,1728,2843,522,522,501,0,finishing,0,0,-6,1
141,45,37,59,10,1670,1497,2080,1497,1505,1,sewing,9,1,12,1
110,42,27,41,3,1802,1131,1602,1131,1155,1,sewing,5,1,20,0
153,51,82,20,24,2096,2915,576,576,678,1,finishing,10,1,6,0
106,25,45,36,7,1017,1811,1382,1017,1018,1,cutting,6,1,20,1
150,48,77,25,11,2298,2609,737,737,697,0,finishing,0,0,5,1
101,25,51,25,12,867,1605,949,867,842,0,cutting,0,0,0,1
109,53,35,21,8,2379,1125,835,835,825,0,finishing,0,0,5,1
174,38,81,55,8,1434,3567,1612,1434,1752,1,cutting,9,1,18,0
127,28,47,52,29,983,1458,1692,983,1003,1,cutting,9,0,-5,0
150,48,64,38,26,1748,2027,930,930,1134,1,finishing,1,1,19,0
200,80,86,34,0,3897,3884,1324,1324,1535,1,finishing,7,1,9,0
207,65,74,68,24,2424,2246,2402,2246,2322,1,sewing,5,0,5,0
154,54,59,41,12,2547,1973,1305,1305,1330,1,finishing,4,0,-4,0
76,23,27,26,3,964,929,950,929,800,0,sewing,0,0,-6,1
139,51,52,36,26,1906,1852,1304,1304,1347,1,finishing,3,0,6,0
128,45,34,49,30,1540,977,1350,977,948,0,sewing,0,0,6,1
160,65,56,39,28,2404,2108,1022,1022,1092,1,finishing,0,0,0,0
162,63,64,35,10,2855,2075,1409,1409,1395,0,finishing,0,0,4,1
127,39,50,38,3,1953,1815,1204,1204,1199,0,finishing,0,0,-4,1
182,70,60,52,7,3004,2131,2226,2131,2184,1,sewing,0,0,6,0
106,25,56,25,15,864,2133,923,864,1015,0,cutting,0,0,4,0
90,29,38,23,15,1072,1527,794,794,961,1,finishing,0,0,5,0
175,44,70,61,8,1743,2315,2395,1743,1766,1,cutting,9,0,5,0
179,49,60,70,38,2032,1795,1830,1795,1594,0,sewing,0,0,-2,1
169,54,71,44,0,2638,2916,1804,1804,2117,1,finishing,6,1,16,0
184,32,88,64,35,963,2771,1951,963,830,0,cutting,0,0,4,1
122,24,30,68,30,676,785,1948,676,661,0,cutting,0,0,3,1
192,61,74,57,31,2449,2672,1624,1624,1654,0,finishing,0,0,-3,0
216,61,87,68,5,2673,3650,2372,2372,2913,1,finishing,1,1,12,0
144,53,30,61,4,2583,1017,1994,1017,994,0,sewing,0,0,-3,1
155,54,74,27,12,2313,2586,945,945,895,0,finishing,0,0,0,1
169,67,38,64,40,2626,868,2107,868,849,0,sewing,0,0,6,1
154,31,76,47,21,1227,2778,1598,1227,1509,1,cutting,6,1,17,0
191,72,66,53,15,3165,2219,2032,2032,2236,1,finishing,7,0,-6,0
113,38,27,48,4,1920,993,1621,993,954,0,sewing,0,0,-6,1
179,69,60,50,32,2793,2160,1325,1325,1187,0,finishing,0,0,-4,1
159,36,71,52,15,1361,2948,1506,1361,1420,1,cutting,8,0,5,0
154,64,37,53,19,2311,1314,1714,1314,1621,1,sewing,7,1,7,0
191,75,54,62,41,3243,1692,1975,1692,1648,0,sewing,0,0,2,1
136,22,65,49,9,851,2669,1518,851,1063,1,cutting,10,1,11,0
174,47,62,65,25,1642,1974,2153,1642,1904,1,cutting,7,1,8,0
155,68,42,45,35,2446,1067,1349,1067,1120,1,sewing,0,0,-2,0
184,69,80,35,43,3005,2150,921,921,919,0,finishing,0,0,-1,1
134,42,28,64,19,1534,777,2497,777,912,1,sewing,4,0,-1,0
86,29,35,22,1,1200,1494,708,708,784,1,finishing,5,1,4,0
154,41,51,62,34,1351,1499,2145,1351,1377,1,cutting,11,0,3,0
138,77,30,31,10,2913,957,1132,957,871,0,sewing,0,0,-6,1
155,24,74,57,17,945,3134,1840,945,839,0,cutting,0,0,4,1
137,44,54,39,32,1860,1415,1041,1041,1203,1,finishing,8,1,4,0
126,22,56,48,19,768,1896,1391,768,766,0,cutting,0,0,4,1
141,39,55,47,17,1727,2052,1813,1727,2094,0,cutting,0,0,2,0
169,80,60,29,9,3337,2211,865,865,998,1,finishing,11,0,-3,0
142,56,44,42,19,2638,1389,1410,1389,1205,0,sewing,0,0,2,1
183,63,50,70,8,2581,2061,2574,2061,2018,0,sewing,0,0,6,1
109,29,45,35,2,1328,2127,1112,1112,1072,0,finishing,0,0,5,1
127,21,65,41,26,633,2399,1439,633,651,1,cutting,0,0,-4,0
122,31,28,63,19,1259,849,2272,849,839,0,sewing,0,0,-6,1
136,42,35,59,30,1395,1008,1851,1008,992,0,sewing,0,0,0,1
159,51,85,23,10,1994,2790,829,829,733,0,finishing,0,0,0,1
147,34,50,63,13,1206,2114,2687,1206,1384,1,cutting,4,1,5,0
192,58,73,61,20,2306,3017,2121,2121,2166,1,finishing,0,0,-5,0
198,48,83,67,2,2413,3107,2550,2413,2552,1,cutting,1,0,1,0
172,45,63,64,18,1822,2195,2312,1822,1671,0,cutting,0,0,-4,1
151,49,82,20,32,1622,3053,484,484,521,1,finishing,3,1,10,0
179,76,83,20,16,3062,3274,650,650,614,0,finishing,0,0,-5,1
164,27,82,55,23,862,3160,2004,862,1010,1,cutting,1,1,14,0
125,56,44,25,9,2187,1758,834,834,792,0,finishing,0,0,1,1
108,38,48,22,4,1903,1600,871,871,796,0,finishing,0,0,1,1
132,54,25,53,31,1942,506,1633,506,494,0,sewing,0,0,3,1
126,20,56,50,17,746,2048,1907,746,648,0,cutting,0,0,4,1
95,42,29,24,1,1988,1326,827,827,876,1,finishing,0,0,4,0
129,38,47,44,23,1684,1306,1310,1306,1306,0,sewing,0,0,-5,0
215,68,79,68,35,2334,2597,1846,1846,2059,1,finishing,0,0,-3,0
112,59,32,21,18,2651,1027,716,716,733,1,finishing,5,1,14,0
129,36,70,23,31,1313,2442,523,523,485,0,finishing,0,0,5,1
102,38,49,15,3,1456,2052,476,476,575,1,finishing,6,0,6,0
127,60,52,15,12,2716,1765,372,372,342,0,finishing,0,0,6,1
117,20,39,58,10,770,1544,2158,770,672,0,cutting,0,0,-1,1
199,73,68,58,30,3354,2483,1944,1944,1983,1,finishing,6,1,17,0
179,79,32,68,33,2995,794,2049,794,783,0,sewing,0,0,4,1
130,41,70,19,9,1635,2272,760,760,788,1,finishing,10,0,6,0
192,68,64,60,20,3020,2079,1690,1690,1900,1,finishing,9,0,-5,0
136,43,29,64,12,2031,965,1852,965,974,1,sewing,12,1,13,1
159,69,66,24,6,3366,3016,923,923,871,0,finishing,0,0,1,1
98,44,39,15,9,2144,1526,505,505,459,0,finishing,0,0,-6,1
106,26,64,16,18,1069,2404,364,364,322,0,finishing,0,0,2,1
178,40,81,57,7,1630,2823,1744,1630,1893,1,cutting,9,0,-4,0
192,80,61,51,15,3110,2109,2039,2039,1986,0,finishing,0,0,-6,1
102,50,31,21,12,1821,1039,588,588,598,1,finishing,10,1,14,1
182,72,50,60,42,3058,1123,2104,1123,1306,0,sewing,0,0,6,0
183,78,84,21,29,3006,3054,539,539,563,1,finishing,5,1,16,0
163,31,67,65,20,1152,1996,2190,1152,1159,1,cutting,10,1,20,1
169,26,76,67,6,1064,3188,2764,1064,1066,1,cutting,9,0,1,0
113,44,33,36,6,2123,1310,1461,1310,1353,1,sewing,0,0,4,0
158,62,34,62,36,2634,640,2024,640,552,0,sewing,0,0,1,1
135,31,64,40,4,1391,2746,1518,1391,1551,1,cutting,0,0,-3,0
166,72,42,52,40,3058,1070,1596,1070,1062,0,sewing,0,0,3,1
165,56,82,27,13,2519,2959,925,925,1027,1,finishing,6,1,4,0
189,59,90,40,8,2846,3034,1653,1653,1735,1,finishing,2,1,4,0
174,35,80,59,37,1131,2461,1715,1131,1146,1,cutting,4,1,15,1
175,73,78,24,18,3585,3036,608,608,518,0,finishing,0,0,5,1
220,76,87,57,27,3615,2692,1570,1570,1918,1,finishing,7,1,18,0
181,52,79,50,28,1952,2489,1527,1527,1396,0,finishing,0,0,5,1
156,35,89,32,26,1478,3281,762,762,695,0,finishing,0,0,-1,1
172,27,86,59,5,1039,3716,2595,1039,1252,1,cutting,0,0,3,0
126,25,56,45,4,1141,2285,1702,1141,1189,1,cutting,0,0,1,0
188,52,85,51,46,1748,2531,1697,1697,1479,0,finishing,0,0,5,1
203,79,63,61,50,3074,1429,1706,1429,1224,0,sewing,0,0,-2,1
132,71,28,33,31,2505,616,1026,616,534,0,sewing,0,0,-2,1
109,37,57,15,23,1265,1712,349,349,316,0,finishing,0,0,6,1
154,31,58,65,15,1254,2349,2618,1254,1224,0,cutting,0,0,-4,1
170,58,44,68,31,2475,1233,2109,1233,1473,1,sewing,6,0,-2,0
125,68,39,18,10,2936,1423,557,557,687,1,finishing,7,1,8,0
148,53,80,15,18,2498,2900,401,401,475,0,finishing,0,0,2,0
199,60,70,69,27,2513,2501,2079,2079,1983,0,finishing,0,0,-2,1
180,61,75,44,43,2472,2479,1242,1242,1110,0,finishing,0,0,5,1
146,31,65,50,0,1469,2966,1508,1469,1268,0,cutting,0,0,1,1
156,42,53,61,18,1578,1551,2200,1551,1438,0,sewing,0,0,-3,1
180,80,40,60,7,3097,1571,2067,1571,1853,1,sewing,0,0,-5,0
143,64,48,31,18,2672,1884,1029,1029,1137,1,finishing,6,0,6,0
148,24,60,64,3,1040,2280,1977,1040,1147,1,cutting,4,1,9,0
169,61,87,21,9,2688,3323,744,744,675,0,finishing,0,0,-2,1
74,26,29,19,2,1195,1087,697,697,752,1,finishing,11,1,8,0
171,64,67,40,36,2092,2239,1246,1246,1248,1,finishing,2,1,4,1
152,44,86,22,36,1592,3351,420,420,360,0,finishing,0,0,4,1
145,25,71,49,21,782,2506,1784,782,769,0,cutting,0,0,-6,1
127,44,49,34,24,1920,1670,955,955,890,0,finishing,0,0,5,1
91,32,42,17,6,1189,1917,537,537,554,1,finishing,8,1,4,0
108,22,68,18,10,980,2214,476,476,563,1,finishing,9,0,3,0
85,34,34,17,4,1479,1130,697,697,689,0,finishing,0,0,4,1
80,28,26,26,20,890,651,838,651,640,0,sewing,0,0,3,1
84,24,38,22,15,972,1363,557,557,497,0,finishing,0,0,5,1
174,63,76,35,7,3203,3070,1057,1057,1277,1,finishing,6,0,-2,0
132,29,78,25,23,1097,2729,833,833,718,0,finishing,0,0,4,1
196,59,73,64,10,2178,2816,1835,1835,1581,0,finishing,0,0,4,1
159,57,61,41,30,2384,1770,1267,1267,1270,1,finishing,1,1,19,1
150,59,36,55,19,2357,953,1676,953,875,0,sewing,0,0,-5,1
200,59,71,70,48,2435,2055,2069,2055,2027,0,sewing,0,0,-6,1
136,32,39,65,9,1427,1664,2338,1427,1337,0,cutting,0,0,-6,1
127,23,71,33,13,881,2552,1262,881,932,1,cutting,3,0,-6,0
163,51,90,22,4,2526,3924,816,816,714,0,finishing,0,0,4,1
172,77,66,29,7,3235,2228,1108,1108,1246,1,finishing,8,0,0,0
135,29,52,54,29,890,1529,1695,890,797,0,cutting,0,0,-2,1
122,32,67,23,1,1526,2333,737,737,841,1,finishing,5,1,9,0
130,56,54,20,26,2499,1756,584,584,605,1,finishing,12,1,11,0
172,40,80,52,14,1867,3129,1547,1547,1501,0,finishing,0,0,-6,1
168,22,85,61,32,538,2941,1933,538,653,1,cutting,0,0,2,0
153,68,26,59,26,3180,537,1790,537,524,0,sewing,0,0,1,1
151,62,64,25,29,2750,2267,516,516,532,1,finishing,6,1,4,0
148,75,34,39,21,3180,953,1362,953,1117,1,sewing,0,0,4,0
154,25,67,62,3,1130,3084,2198,1130,1016,0,cutting,0,0,1,1
127,59,30,38,23,2184,836,992,836,912,1,sewing,0,0,-5,0
209,61,86,62,48,2259,3082,1591,1591,1742,1,finishing,11,1,5,0
133,24,72,37,28,761,2482,923,761,902,1,cutting,10,1,6,0
135,32,83,20,5,1347,2956,843,843,734,0,finishing,0,0,-5,1
153,64,43,46,9,3115,1610,1734,1610,1571,0,sewing,0,0,2,1
165,79,41,45,22,3247,1418,1182,1182,1008,0,finishing,0,0,6,1
142,34,67,41,21,1368,2610,1305,1305,1508,1,finishing,10,0,6,0
150,39,46,65,16,1441,1529,2093,1441,1555,1,cutting,10,1,13,0
146,31,47,68,9,1167,1532,2963,1167,1173,1,cutting,0,0,5,0
124,22,65,37,9,864,2535,1135,864,837,0,cutting,0,0,0,1
231,79,88,64,9,3947,3947,2005,2005,2324,1,finishing,5,1,13,0
189,80,43,66,36,3422,1266,1964,1266,1154,0,sewing,0,0,-6,1
101,28,39,34,0,1221,1785,1247,1221,1046,0,cutting,0,0,4,1
150,32,53,65,17,1140,1617,2564,1140,1415,1,cutting,8,0,3,0
141,52,32,57,23,2047,968,1857,968,939,0,sewing,0,0,-1,1
149,42,64,43,35,1333,2165,1209,1209,1463,1,finishing,7,1,17,0
88,28,36,24,6,1140,1626,871,871,909,1,finishing,1,1,12,0
143,46,47,50,29,1869,1515,1346,1346,1210,0,finishing,0,0,2,1
148,51,30,67,19,2335,841,2380,841,817,0,sewing,0,0,-6,1
121,29,58,34,30,1033,1931,796,796,881,1,finishing,11,0,-5,0
174,68,60,46,4,3107,2304,1674,1674,1658,0,finishing,0,0,4,1
128,50,40,38,32,2026,890,982,890,873,0,sewing,0,0,1,1
155,76,42,37,10,2866,1484,1344,1344,1424,1,finishing,2,1,9,0
158,68,37,53,10,3010,1525,2120,1525,1693,1,sewing,2,1,15,0
130,72,43,15,8,3167,1568,484,484,504,1,finishing,0,0,-3,0
187,73,49,65,35,3028,1551,2083,1551,1572,1,sewing,0,0,1,0
134,78,34,22,8,3870,1262,693,693,717,1,finishing,6,0,-2,0
90,21,40,29,4,999,1403,935,935,810,0,finishing,0,0,-5,1
105,47,39,19,0,2295,1739,582,582,554,0,finishing,0,0,2,1
134,57,32,45,7,2840,1003,1484,1003,865,0,sewing,0,0,-5,1
181,78,51,52,12,3044,1790,1536,1536,1902,1,finishing,3,1,11,0
106,52,33,21,26,2120,752,465,465,412,0,finishing,0,0,6,1
140,54,25,61,6,2699,1078,2566,1078,1105,1,sewing,2,0,-1,0
151,44,79,28,32,1482,2312,850,850,734,0,finishing,0,0,-4,1
182,51,71,60,18,2152,2177,1920,1920,1702,0,finishing,0,0,3,1
189,67,64,58,28,2469,2064,2238,2064,2143,1,sewing,11,1,4,0
208,63,87,58,6,2700,3511,2288,2288,2062,0,finishing,0,0,5,1
157,57,38,62,10,2139,1620,2069,1620,1699,1,sewing,12,1,12,0
181,68,76,37,30,2887,2980,1254,1254,1231,0,finishing,0,0,1,1
97,26,40,31,15,1034,1455,864,864,740,0,finishing,0,0,-5,1
105,51,28,26,12,2230,887,794,794,818,1,finishing,8,1,10,0
172,38,88,46,32,1249,2871,1587,1249,1306,0,cutting,0,0,0,0
155,76,40,39,28,2925,1099,1143,1099,1013,0,sewing,0,0,6,1
131,39,46,46,27,1316,1496,1417,1316,1234,0,cutting,0,0,4,1
185,55,85,45,35,2348,2876,1255,1255,1314,1,finishing,5,0,-6,0
110,57,30,23,26,2199,861,620,620,728,1,finishing,6,1,5,0
148,62,56,30,15,2777,2114,1135,1135,1009,0,finishing,0,0,-1,1
106,30,27,49,10,1078,993,1671,993,996,0,sewing,0,0,1,0
119,57,27,35,12,2483,847,1006,847,868,1,sewing,11,0,3,0
152,39,71,42,12,1618,3026,1630,1618,1872,1,cutting,0,0,3,0
152,45,53,54,5,2114,2146,2060,2060,1902,0,finishing,0,0,2,1
157,50,79,28,22,2211,3018,759,759,862,1,finishing,0,0,0,0
170,36,90,44,42,1265,2630,968,968,1183,1,finishing,0,0,5,0
196,80,84,32,40,3182,2811,830,830,842,1,finishing,6,1,11,0
161,29,63,69,27,1006,2348,2663,1006,1043,1,cutting,3,0,3,0
141,35,76,30,7,1363,2510,1174,1174,1071,0,finishing,0,0,0,1
103,47,29,27,5,1923,929,1087,929,856,0,sewing,0,0,4,1
165,74,30,61,31,3279,591,2259,591,525,0,sewing,0,0,-5,1
192,77,77,38,42,3162,2080,1147,1147,1236,1,finishing,2,1,20,0
144,36,88,20,15,1531,3675,555,555,664,1,finishing,7,0,-5,0
115,31,52,32,14,1224,2119,863,863,885,1,finishing,8,1,12,0
157,76,43,38,30,3313,1364,879,879,1029,1,finishing,1,1,11,0
144,36,74,34,23,1569,2789,1064,1064,965,0,finishing,0,0,-6,1
184,78,75,31,19,2905,3049,871,871,841,0,finishing,0,0,1,1
191,60,65,66,41,2184,1620,2321,1620,2005,1,sewing,6,1,7,0
176,72,45,59,16,3066,1479,2146,1479,1771,1,sewing,0,0,-6,0
164,61,48,55,28,2650,1292,1692,1292,1285,0,sewing,0,0,-5,1
102,27,45,30,16,1103,1700,1033,1033,957,0,finishing,0,0,0,1
178,70,65,43,30,3164,1865,1108,1108,1103,0,finishing,0,0,-2,1
108,32,35,41,11,1216,1434,1678,1216,1331,1,cutting,11,1,11,0
158,78,36,44,12,3124,1423,1260,1260,1282,1,finishing,3,1,7,0
164,20,80,64,29,644,2741,1868,644,626,0,cutting,0,0,6,1
160,37,61,62,31,1300,1921,1754,1300,1244,0,cutting,0,0,5,1
153,63,49,41,11,2666,1621,1305,1305,1214,0,finishing,0,0,-3,1
146,43,83,20,0,1916,3834,892,892,880,0,finishing,0,0,0,1
206,65,79,62,38,2328,2190,1574,1574,1556,0,finishing,0,0,-1,1
103,58,30,15,8,2523,1061,580,580,624,1,finishing,0,0,-4,0
129,36,46,47,31,1479,1527,1215,1215,1116,0,finishing,0,0,-4,1
110,36,39,35,1,1861,1598,1561,1561,1400,0,finishing,0,0,0,1
150,38,58,54,16,1538,2045,1623,1538,1766,1,cutting,11,1,18,0
96,23,49,24,1,948,1690,813,813,924,1,finishing,1,1,19,0
159,49,88,22,9,1867,2966,860,860,749,0,finishing,0,0,2,1
182,72,59,51,42,2864,1728,1738,1728,1755,1,sewing,0,0,6,0
124,51,37,36,1,2140,1766,1145,1145,1195,1,finishing,1,0,5,0
192,62,86,44,40,2671,2877,962,962,1136,1,finishing,12,1,8,0
130,33,31,66,18,1233,799,1894,799,899,1,sewing,0,0,6,0
171,75,76,20,1,3744,2757,833,833,789,0,finishing,0,0,4,1
103,29,40,34,15,1279,1506,1314,1279,1497,1,cutting,0,0,-1,0
148,52,50,46,28,2267,1545,1460,1460,1504,1,finishing,7,1,6,0
148,22,90,36,29,712,3316,1139,712,822,1,cutting,0,0,1,0
148,47,35,66,30,1688,1051,2295,1051,927,0,sewing,0,0,0,1
119,38,31,50,2,1932,1276,1882,1276,1285,1,sewing,6,0,-5,0
174,69,89,16,7,3288,3481,585,585,619,1,finishing,6,1,18,0
204,68,82,54,51,2335,2852,1679,1679,1467,0,finishing,0,0,5,1
186,58,58,70,43,1895,1617,1745,1617,1410,0,sewing,0,0,1,1
195,49,76,70,42,2009,2460,2163,2009,2105,1,cutting,12,1,13,0
89,25,41,23,0,1016,1862,930,930,793,0,finishing,0,0,1,1
160,61,43,56,15,2557,1582,2176,1582,1406,0,sewing,0,0,1,1
156,29,85,42,1,1149,3963,1725,1149,1159,0,cutting,0,0,1,0
140,57,56,27,18,2436,2192,676,676,630,0,finishing,0,0,5,1
194,47,78,69,31,1932,2752,2298,1932,1764,0,cutting,0,0,1,1
168,52,87,29,3,2360,3432,1007,1007,972,0,finishing,0,0,0,1
183,76,85,22,31,3223,3099,477,477,468,0,finishing,0,0,5,1
154,32,85,37,28,1031,2706,1265,1031,1049,1,cutting,3,1,16,0
182,46,71,65,30,1918,2657,2202,1918,1817,0,cutting,0,0,4,1
117,50,41,26,6,1969,1594,1047,1047,1202,1,finishing,1,1,12,0
113,42,45,26,26,1801,1395,799,799,782,0,finishing,0,0,-3,1
126,27,53,46,16,1193,2069,1744,1193,1385,1,cutting,9,1,7,0
139,65,31,43,29,2985,802,1561,802,939,1,sewing,0,0,2,0
132,22,89,21,10,936,3926,785,785,697,0,finishing,0,0,1,1
203,68,89,46,46,2860,2495,1170,1170,1257,1,finishing,1,0,6,0
151,50,68,33,32,1696,2037,977,977,996,1,finishing,9,1,11,0
148,28,79,41,26,1112,3218,1283,1112,1377,1,cutting,12,1,6,0
128,25,68,35,25,983,2069,865,865,1022,1,finishing,1,1,20,0
156,38,78,40,35,1506,2778,1041,1041,1078,1,finishing,3,1,18,0
161,61,51,49,39,2549,1466,1537,1466,1768,1,sewing,0,0,-2,0
103,25,29,49,10,999,1101,1987,999,1012,1,cutting,5,1,9,0
114,21,28,65,17,787,784,2496,784,977,1,sewing,0,0,-1,0
162,36,89,37,7,1353,3707,1115,1115,1054,0,finishing,0,0,1,1
162,41,55,66,37,1469,1814,2167,1469,1494,1,cutting,12,1,8,0
186,65,73,48,15,2447,2762,1447,1447,1650,1,finishing,7,0,-6,0
133,47,41,45,13,1946,1410,1591,1410,1426,1,sewing,8,1,18,1
212,64,87,61,26,2872,2737,1722,1722,1852,1,finishing,2,1,18,0
141,50,29,62,10,2458,979,2612,979,981,1,sewing,1,1,7,1
145,43,64,38,19,1642,1925,1060,1060,1202,1,finishing,5,0,5,0
98,51,25,22,17,2015,831,616,616,625,1,finishing,8,1,8,0
157,68,42,47,29,2968,1256,1257,1256,1341,1,sewing,7,0,0,0
128,41,30,57,28,1642,774,2106,774,901,1,sewing,9,1,6,0
114,32,31,51,16,1138,975,2042,975,947,0,sewing,0,0,-4,1
146,21,60,65,13,745,2413,2685,745,770,1,cutting,1,1,4,0
147,41,80,26,26,1341,2855,678,678,662,0,finishing,0,0,2,1
115,30,61,24,5,1205,2080,795,795,781,0,finishing,0,0,3,1
104,40,48,16,22,1358,1538,348,348,346,0,finishing,0,0,0,1
138,80,40,18,12,3184,1482,503,503,508,1,finishing,6,1,17,1
126,24,86,16,26,843,3509,272,272,276,1,finishing,11,1,13,1
176,56,77,43,5,2741,3075,1753,1753,1613,0,finishing,0,0,-4,1
175,70,56,49,27,3293,1837,1255,1255,1558,1,finishing,3,0,1,0
162,37,57,68,24,1611,2152,2024,1611,1782,1,cutting,2,0,0,0
172,64,40,68,8,2985,1775,2849,1775,1625,0,sewing,0,0,6,1
163,40,68,55,16,1861,2678,1738,1738,1936,1,finishing,6,0,5,0
106,28,25,53,15,951,648,1597,648,664,1,sewing,2,1,6,0
150,54,28,68,28,2228,623,2531,623,698,1,sewing,12,1,7,0
148,49,72,27,28,1601,2664,786,786,936,1,finishing,11,0,5,0
134,34,54,46,23,1116,1799,1622,1116,1083,0,cutting,0,0,4,1
154,45,39,70,17,1884,1309,2487,1309,1328,1,sewing,2,1,6,0
137,28,58,51,14,1258,2298,1603,1258,1326,1,cutting,10,0,2,0
174,76,83,15,27,3288,3351,215,215,244,1,finishing,11,1,19,0
134,43,30,61,14,1546,1124,2165,1124,1012,0,sewing,0,0,-1,1
115,25,28,62,7,1240,998,1866,998,869,0,sewing,0,0,-2,1
77,24,37,16,15,924,1064,503,503,612,1,finishing,6,1,14,0
127,53,55,19,28,2240,1838,425,425,364,0,finishing,0,0,-6,1
178,44,65,69,44,1284,1646,2452,1284,1276,0,cutting,0,0,4,1
101,47,33,21,21,1628,833,641,641,653,1,finishing,11,1,18,1
193,44,84,65,27,1912,3072,2000,1912,2306,1,cutting,4,0,-6,0
143,58,33,52,12,2786,1001,1844,1001,1009,1,sewing,0,0,-4,0
119,71,30,18,4,2965,1162,754,754,838,1,finishing,3,1,14,0
125,38,72,15,9,1396,2794,552,552,626,1,finishing,0,0,-3,0
139,70,33,36,12,3172,1224,1476,1224,1219,0,sewing,0,0,3,1
177,56,67,54,19,2280,2140,1803,1803,1908,1,finishing,0,0,-3,0
162,64,54,44,39,2254,1507,1370,1370,1659,1,finishing,1,1,6,0
120,42,28,50,3,1679,1084,1973,1084,1216,1,sewing,0,0,-2,0
115,31,53,31,23,1051,1972,842,842,734,0,finishing,0,0,-2,1
131,78,37,16,8,3291,1530,443,443,492,1,finishing,11,0,2,0
211,71,80,60,4,2776,3662,1885,1885,1732,0,finishing,0,0,5,1
161,43,65,53,27,1912,1983,1381,1381,1360,0,finishing,0,0,2,1
117,38,44,35,7,1433,1850,1422,1422,1768,1,finishing,0,0,-5,0
220,70,85,65,42,2796,2435,1898,1898,2278,1,finishing,3,0,-1,0
199,53,86,60,31,2053,3075,2018,2018,2381,1,finishing,8,1,16,0
139,33,64,42,24,1241,2543,1246,1241,1217,0,cutting,0,0,-5,1
167,38,81,48,22,1360,2489,1582,1360,1368,1,cutting,8,0,0,0
111,21,47,43,7,834,1542,1784,834,763,0,cutting,0,0,2,1
161,61,35,65,17,2905,990,1864,990,867,0,sewing,0,0,-3,1
161,63,67,31,19,2857,2640,1109,1109,1029,0,finishing,0,0,-4,1
147,74,58,15,19,2936,1942,449,449,545,1,finishing,0,0,4,0
166,52,44,70,25,1894,1456,2088,1456,1348,0,sewing,0,0,2,1
213,68,84,61,52,2445,2750,1596,1596,1516,0,finishing,0,0,5,1
140,46,51,43,28,1947,1342,1122,1122,1246,1,finishing,11,1,14,0
154,34,78,42,25,1363,2925,1207,1207,1225,0,finishing,0,0,-4,0
147,29,67,51,36,1002,2433,1355,1002,1014,1,cutting,0,0,3,0
131,48,63,20,10,1815,2462,518,518,594,1,finishing,0,0,0,0
118,38,51,29,9,1700,1644,833,833,819,0,finishing,0,0,0,1
112,45,45,22,4,2002,1790,651,651,796,1,finishing,0,0,0,0
182,72,85,25,38,2901,2607,462,462,527,1,finishing,8,0,0,0
162,58,56,48,21,2689,2176,1549,1549,1593,1,finishing,8,0,5,0
173,70,63,40,39,3021,2111,1050,1050,976,0,finishing,0,0,0,1
180,49,74,57,11,2245,2473,2185,2185,2108,0,finishing,0,0,-4,1
156,37,62,57,4,1719,2690,1862,1719,1803,1,cutting,2,1,20,0
176,69,66,41,28,2499,1992,1012,1012,944,0,finishing,0,0,4,1
190,67,84,39,21,3003,3448,1186,1186,1025,0,finishing,0,0,-4,1
170,40,84,46,29,1285,2959,1278,1278,1377,1,finishing,3,1,7,0
115,31,62,22,17,1306,1999,681,681,603,0,finishing,0,0,1,1
117,42,47,28,22,1423,1651,731,731,889,1,finishing,12,1,7,0
151,44,64,43,3,2040,2184,1533,1533,1352,0,finishing,0,0,-3,1
84,32,36,16,13,1113,1060,550,550,584,1,finishing,0,0,4,0
93,30,46,17,13,1219,1862,487,487,496,1,finishing,7,0,-3,0
131,26,70,35,11,917,2848,965,917,805,0,cutting,0,0,4,1
188,72,60,56,39,2719,1502,1497,1497,1388,0,finishing,0,0,-5,1
142,65,46,31,6,2969,2100,1213,1213,1509,1,finishing,11,1,14,0
179,74,86,19,21,2639,3601,477,477,490,1,finishing,1,0,3,0
142,68,40,34,15,3141,1516,1178,1178,1058,0,finishing,0,0,-2,1
115,32,44,39,6,1456,1567,1553,1456,1658,1,cutting,0,0,-1,0
139,61,30,48,26,2588,722,1244,722,805,1,sewing,11,1,11,0
179,58,73,48,20,2150,2740,1300,1300,1360,0,finishing,0,0,-4,0
154,80,51,23,5,3194,2042,922,922,844,0,finishing,0,0,0,1
184,66,84,34,10,3078,2994,1012,1012,897,0,finishing,0,0,1,1
142,60,50,32,30,2073,1761,827,827,750,0,finishing,0,0,2,1
202,59,80,63,9,2820,3428,1848,1848,1918,1,finishing,10,1,9,0
153,36,73,44,19,1419,2551,1524,1419,1231,0,cutting,0,0,1,1
