total_workers,cutting_workers,sewing_workers,finishing_workers,cutting_attendance,sewing_attendance,finishing_attendance,cutting_output,sewing_output,finishing_output,final_output,daily_target,workflow_blocked,bottleneck_department,reallocated_workers,diversion_success,targeted_productivity_gain,target_achieved
162,51,42,69,51,42,67,2163,1714,2262,1714,1816,0,sewing,0,0,-4,0
142,23,52,67,20,46,63,786,2043,2135,786,797,1,cutting,7,0,4,0
159,58,50,51,58,50,50,2345,2246,1766,1766,2026,1,finishing,7,1,18,0
173,60,43,70,47,35,58,2201,1470,2478,1470,1280,0,sewing,0,0,-3,1
161,40,65,56,32,61,44,1487,2411,1905,1487,1840,1,cutting,8,1,9,0
124,74,27,23,74,19,18,3786,832,561,561,484,0,finishing,0,0,-5,1
214,79,85,50,56,52,44,2538,2493,1388,1388,1355,0,finishing,0,0,0,1
123,39,54,30,38,41,26,1777,1469,1107,1107,1036,0,finishing,0,0,-1,1
204,75,85,44,69,68,42,2752,3214,1599,1599,1609,1,finishing,7,1,13,1
192,78,69,45,71,48,31,3137,1877,1050,1050,892,0,finishing,0,0,6,1
153,74,42,37,60,40,32,2286,1876,1414,1414,1372,0,finishing,0,0,0,1
186,71,62,53,56,62,34,2557,2271,1469,1469,1454,0,finishing,0,0,5,1
209,67,74,68,58,51,52,2268,2180,1962,1962,2300,1,finishing,11,1,12,0
164,46,49,69,33,34,48,1387,1459,1884,1387,1291,0,cutting,0,0,-3,1
91,40,27,24,28,24,15,1136,850,510,510,609,1,finishing,0,0,1,0
142,33,68,41,27,65,41,1403,2631,1716,1403,1455,1,cutting,0,0,6,0
128,45,34,49,38,22,37,1920,825,1321,825,805,0,sewing,0,0,5,1
173,35,74,64,31,51,64,1609,1876,2625,1609,1506,0,cutting,0,0,-3,1
182,50,74,58,44,73,47,1769,3226,1935,1769,1733,0,cutting,0,0,1,1
150,60,63,27,53,38,27,2175,1352,1066,1066,929,0,finishing,0,0,-2,1
137,57,40,40,46,24,26,2122,1048,1048,1048,995,0,sewing,0,0,-3,1
138,30,88,20,30,73,13,1165,3140,526,526,565,1,finishing,11,1,18,0
131,66,49,16,58,40,15,2313,1863,559,559,555,0,finishing,0,0,5,1
151,51,49,51,40,46,44,1701,1865,1892,1701,1767,1,cutting,8,0,-2,0
169,54,71,44,37,66,44,1602,2415,1332,1332,1605,1,finishing,11,1,16,0
184,32,88,64,30,61,60,1258,2423,2089,1258,1177,0,cutting,0,0,-6,1
140,73,41,26,52,30,17,2329,1061,655,655,773,1,finishing,5,0,-3,0
107,58,34,15,46,30,12,2345,1369,444,444,443,0,finishing,0,0,5,1
225,80,78,67,67,49,62,2795,1693,1925,1693,1646,0,sewing,0,0,2,1
124,26,37,61,21,34,45,854,1468,1734,854,992,1,cutting,11,1,18,0
164,64,79,21,49,58,21,2137,2246,679,679,773,1,finishing,6,1,17,0
215,68,80,67,57,63,61,2601,2472,2333,2333,2617,1,finishing,1,1,13,0
133,58,27,48,44,20,31,1857,742,1327,742,709,0,sewing,0,0,5,1
182,72,60,50,66,53,50,3363,1916,1528,1528,1499,0,finishing,0,0,-1,1
161,76,56,29,61,42,19,2805,1762,631,631,562,0,finishing,0,0,1,1
185,31,87,67,30,58,62,1409,2002,2611,1409,1454,1,cutting,7,1,7,0
191,75,54,62,72,51,40,3374,2185,1232,1232,1226,0,finishing,0,0,3,1
142,29,66,47,23,43,31,1090,2062,1381,1090,1269,0,cutting,0,0,0,0
137,38,75,24,28,55,16,1250,2443,611,611,551,0,finishing,0,0,0,1
173,69,41,63,52,39,57,2120,1541,2198,1541,1617,1,sewing,0,0,-2,0
184,69,80,35,69,53,23,3270,2116,810,810,751,0,finishing,0,0,-6,1
158,69,64,25,59,57,23,2756,2289,1008,1008,946,0,finishing,0,0,-4,1
125,68,35,22,48,24,16,2407,1091,483,483,517,1,finishing,0,0,-3,0
147,67,52,28,63,47,22,2878,2007,987,987,1168,1,finishing,9,0,-4,0
111,23,61,27,20,37,24,943,1262,859,859,825,0,finishing,0,0,4,1
97,43,38,16,34,34,11,1758,1398,447,447,512,1,finishing,0,0,-3,0
185,52,83,50,36,51,39,1832,1951,1456,1456,1534,1,finishing,5,0,2,0
124,37,32,55,29,25,35,1485,1182,1168,1168,1169,1,finishing,9,1,11,1
152,46,55,51,34,46,42,1725,1776,1601,1601,1389,0,finishing,0,0,2,1
183,63,50,70,48,39,67,2297,1611,2145,1611,2005,1,sewing,3,0,2,0
120,54,40,26,47,28,16,2289,1297,579,579,582,1,finishing,12,0,6,1
93,32,38,23,24,22,23,1119,934,901,901,890,0,finishing,0,0,-6,1
136,42,35,59,41,28,42,1846,1189,1708,1189,1234,1,sewing,0,0,-3,0
104,34,29,41,23,21,39,945,911,1288,911,795,0,sewing,0,0,1,1
221,75,87,59,62,81,45,2727,3634,1760,1760,2101,1,finishing,10,1,20,0
138,61,29,48,45,24,45,2231,830,2022,830,831,1,sewing,9,1,5,1
137,32,62,43,28,46,36,1244,1836,1411,1244,1141,0,cutting,0,0,-4,1
151,49,82,20,37,60,15,1609,2311,455,455,473,1,finishing,2,0,5,0
166,61,45,60,45,29,42,2154,1243,1313,1243,1485,1,sewing,3,1,16,0
104,22,46,36,17,32,36,680,1432,1107,680,642,0,cutting,0,0,1,1
108,38,48,22,28,34,14,1308,1276,516,516,597,0,finishing,0,0,1,0
139,35,52,52,34,46,47,1487,1615,1833,1487,1369,0,cutting,0,0,3,1
129,60,51,18,47,34,11,2215,1173,470,470,572,1,finishing,1,0,-4,0
145,30,61,54,30,54,52,1214,2180,2011,1214,1297,1,cutting,7,1,17,0
139,73,33,33,66,21,22,3149,794,833,794,814,1,sewing,0,0,5,0
141,60,36,45,51,34,39,2123,1429,1534,1429,1676,1,sewing,8,1,9,0
190,76,54,60,62,38,39,2458,1539,1636,1539,1679,1,sewing,1,0,2,0
138,71,52,15,69,37,14,2894,1667,484,484,482,0,finishing,0,0,-6,0
130,27,67,36,24,63,32,1118,2167,1044,1044,1040,0,finishing,0,0,4,1
201,50,85,66,36,59,57,1446,2386,2449,1446,1652,1,cutting,1,1,13,0
171,56,65,50,56,39,38,2580,1507,1662,1507,1602,1,sewing,6,1,9,0
156,56,74,26,42,71,20,2010,2726,609,609,614,1,finishing,5,0,-2,0
108,31,39,38,21,29,38,825,1191,1595,825,891,1,cutting,9,0,-1,0
133,29,37,67,28,26,49,1348,1051,1994,1051,1019,0,sewing,0,0,-6,1
135,63,36,36,58,22,24,2626,950,832,832,827,0,finishing,0,0,-3,1
117,40,50,27,32,38,25,1358,1526,794,794,703,0,finishing,0,0,-6,1
170,59,90,21,47,88,18,2147,3325,794,794,924,1,finishing,6,1,5,0
101,28,28,45,19,17,41,736,679,1340,679,690,1,sewing,10,1,14,1
182,72,50,60,71,47,41,3665,2095,1516,1516,1448,0,finishing,0,0,5,1
130,49,37,44,43,36,43,1773,1336,1845,1336,1393,1,sewing,11,0,-1,0
152,49,87,16,36,82,10,1545,3317,325,325,380,1,finishing,0,0,5,0
143,70,38,35,66,24,34,2787,970,1321,970,855,0,sewing,0,0,-4,1
143,50,74,19,45,50,18,2204,2004,752,752,743,0,finishing,0,0,4,1
158,62,34,62,61,33,55,2415,1397,1918,1397,1268,0,sewing,0,0,-2,1
131,45,33,53,32,29,53,1561,1139,1982,1139,1216,1,sewing,11,1,8,0
149,62,44,43,60,35,39,2797,1409,1290,1290,1431,1,finishing,7,1,15,0
105,25,26,54,25,21,39,1248,732,1697,732,768,1,sewing,2,1,4,0
174,35,80,59,33,73,58,1400,2873,2071,1400,1432,1,cutting,0,0,0,0
212,73,71,68,64,46,53,3325,1995,1696,1696,1445,0,finishing,0,0,5,1
220,76,87,57,66,60,39,2634,2716,1673,1673,1989,1,finishing,8,1,18,0
143,44,70,29,32,55,27,1219,2253,1106,1106,1220,1,finishing,1,1,19,0
159,65,72,22,63,58,15,2519,2565,671,671,809,1,finishing,0,0,3,0
126,25,56,45,18,54,38,838,2519,1444,838,761,0,cutting,0,0,1,1
164,56,67,41,50,65,35,2102,2242,1534,1534,1833,1,finishing,0,0,1,0
154,57,46,51,40,36,33,1680,1265,1240,1240,1370,1,finishing,5,0,-5,0
157,58,47,52,44,42,44,2169,1581,1782,1581,1634,1,sewing,2,1,8,0
224,73,88,63,64,76,47,3023,3356,1527,1527,1584,0,finishing,0,0,-2,0
125,68,39,18,52,37,17,2322,1504,751,751,823,1,finishing,5,0,0,0
147,20,61,66,17,48,63,721,1988,2793,721,662,0,cutting,0,0,-1,1
208,74,80,54,71,65,45,2966,2940,1522,1522,1532,1,finishing,0,0,4,0
154,57,49,48,49,34,41,2237,1476,1741,1476,1273,0,sewing,0,0,-5,1
182,63,82,37,51,67,28,2075,2300,878,878,1037,1,finishing,11,0,-5,0
105,25,41,39,19,27,36,771,1029,1436,771,700,0,cutting,0,0,-2,1
207,69,79,59,69,67,46,2778,2347,1916,1916,1909,0,finishing,0,0,-6,1
120,36,58,26,32,36,23,1654,1325,825,825,807,0,finishing,0,0,2,1
177,69,80,28,67,54,25,3217,1914,777,777,769,0,finishing,0,0,1,1
133,21,88,24,14,54,21,584,2365,914,584,590,1,cutting,7,1,6,1
122,54,53,15,49,53,15,2396,1891,570,570,636,1,finishing,0,0,4,0
145,25,71,49,22,44,45,1070,1674,1487,1070,1120,1,cutting,7,1,15,0
141,51,35,55,49,32,41,1958,1174,1672,1174,1184,0,sewing,0,0,2,0
171,61,64,46,59,64,43,3040,2190,1508,1508,1549,1,finishing,0,0,4,0
203,62,83,58,60,58,55,2475,2030,2256,2030,1972,0,sewing,0,0,3,1
137,22,56,59,17,33,43,796,1539,1819,796,739,0,cutting,0,0,3,1
84,24,38,22,23,29,15,1133,1159,632,632,749,1,finishing,10,1,14,0
188,73,52,63,52,49,45,2220,1748,1445,1445,1482,1,finishing,10,0,-5,0
207,70,73,64,54,43,56,2113,1466,2457,1466,1713,1,sewing,8,1,10,0
136,29,59,48,27,48,38,1380,2042,1161,1161,1062,0,finishing,0,0,-5,1
160,60,63,37,55,37,32,2271,1318,1214,1214,1089,0,finishing,0,0,6,1
172,54,89,29,51,66,22,1975,2348,709,709,873,1,finishing,0,0,-6,0
127,23,71,33,19,55,25,810,2489,1034,810,766,0,cutting,0,0,2,1
141,31,45,65,21,42,58,832,1954,2367,832,828,0,cutting,0,0,-3,1
162,67,66,29,49,49,21,1929,2172,904,904,892,0,finishing,0,0,1,1
162,57,87,18,52,61,14,2651,2462,501,501,472,0,finishing,0,0,4,1
128,42,59,27,34,39,17,1621,1358,544,544,621,1,finishing,5,1,9,0
130,56,54,20,52,48,20,2603,1777,742,742,720,0,finishing,0,0,0,1
153,67,56,30,56,46,28,2302,2161,1237,1237,1521,1,finishing,0,0,1,0
172,66,89,17,59,86,14,2637,3884,592,592,585,0,finishing,0,0,2,1
153,68,26,59,60,18,42,2581,672,1889,672,629,0,sewing,0,0,-4,1
217,65,83,69,63,50,58,2803,1797,2351,1797,1731,0,sewing,0,0,4,1
144,49,25,70,36,21,67,1535,723,2438,723,703,0,sewing,0,0,2,1
172,56,51,65,41,49,52,1980,1703,2297,1703,2090,1,sewing,10,0,-1,0
114,31,33,50,24,21,42,992,747,1561,747,871,1,sewing,0,0,5,0
156,68,53,35,58,39,30,2756,1477,928,928,936,1,finishing,0,0,5,0
159,54,62,43,48,62,29,1950,2875,907,907,892,0,finishing,0,0,-5,1
104,26,46,32,19,31,27,762,1142,1195,762,688,0,cutting,0,0,4,1
140,54,41,45,48,37,43,2319,1269,1411,1269,1210,0,sewing,0,0,2,1
169,61,67,41,60,50,36,2688,2166,1366,1366,1375,1,finishing,5,0,-2,0
158,34,86,38,27,54,26,1159,2180,844,844,1006,1,finishing,12,1,8,0
107,30,55,22,21,43,16,927,1684,529,529,625,1,finishing,0,0,1,0
148,54,45,49,46,30,31,2008,1229,997,997,992,0,finishing,0,0,-6,0
192,67,89,36,66,71,30,3335,3377,1239,1239,1466,1,finishing,8,0,-5,0
169,66,86,17,50,86,11,2115,3407,468,468,457,0,finishing,0,0,-6,1
159,58,49,52,56,36,41,2281,1266,1752,1266,1571,1,sewing,8,0,3,0
141,52,32,57,47,25,41,2257,999,1467,999,893,0,sewing,0,0,-2,1
112,48,36,28,47,34,25,1975,1539,1113,1113,1159,1,finishing,2,0,-2,0
136,50,67,19,47,42,12,2055,1965,434,434,445,1,finishing,0,0,-4,0
179,73,73,33,68,58,21,3367,2217,814,814,837,1,finishing,3,0,4,0
180,73,85,22,71,69,20,2876,3221,793,793,752,0,finishing,0,0,1,1
147,24,71,52,23,60,46,1153,2567,1708,1153,1238,1,cutting,5,0,-6,0
138,29,65,44,22,50,33,852,1952,1304,852,902,1,cutting,2,1,9,0
158,68,37,53,52,32,44,2577,1394,1518,1394,1655,0,sewing,0,0,3,0
100,42,43,15,31,41,11,1339,1672,386,386,413,1,finishing,0,0,-3,0
150,70,39,41,63,25,29,3116,1173,1078,1078,967,0,finishing,0,0,1,1
170,76,68,26,75,49,16,3631,1747,510,510,605,1,finishing,0,0,-5,0
105,47,39,19,32,38,18,1235,1349,754,754,734,0,finishing,0,0,-5,1
152,78,57,17,56,43,16,2136,1520,509,509,517,1,finishing,1,0,5,0
192,80,60,52,67,47,38,3348,2111,1489,1489,1452,0,finishing,0,0,3,1
142,68,26,48,53,26,37,2729,946,1528,946,893,0,sewing,0,0,-3,1
236,78,89,69,76,83,55,3630,3037,2205,2205,2113,0,finishing,0,0,0,1
146,47,52,47,39,44,33,1897,1689,1220,1220,1231,1,finishing,12,0,-1,0
129,51,39,39,44,37,34,2125,1613,1448,1448,1307,0,finishing,0,0,0,1
133,32,33,68,29,29,55,1174,1391,2055,1174,1064,0,cutting,0,0,4,1
120,63,35,22,48,27,20,2291,1287,822,822,890,1,finishing,0,0,-3,0
156,58,76,22,47,72,21,1969,3167,813,813,774,0,finishing,0,0,4,1
193,80,76,37,71,70,31,3206,2524,1141,1141,1042,0,finishing,0,0,-3,1
118,60,42,16,45,26,16,1752,1130,713,713,730,1,finishing,2,1,20,1
222,69,88,65,62,64,51,2930,2615,1730,1730,1797,1,finishing,1,1,7,0
161,44,82,35,43,73,29,1910,2515,1112,1112,1234,1,finishing,3,0,0,0
141,51,39,51,50,38,48,2293,1375,1480,1375,1274,0,sewing,0,0,0,1
193,59,70,64,50,52,42,1919,1800,1787,1787,1839,0,finishing,0,0,4,0
135,41,73,21,34,54,18,1488,1878,605,605,538,0,finishing,0,0,-5,1
181,78,33,70,63,20,55,2543,830,1680,830,833,1,sewing,1,1,4,1
164,40,73,51,34,53,51,1338,2164,2058,1338,1223,0,cutting,0,0,6,1
161,68,68,25,66,49,21,3403,1804,830,830,884,1,finishing,0,0,-2,0
137,23,63,51,22,62,40,1028,2939,1630,1028,1045,1,cutting,9,1,10,0
132,42,34,56,42,24,52,2068,961,1981,961,867,0,sewing,0,0,3,1
192,52,83,57,41,50,57,1961,2303,2203,1961,1912,0,cutting,0,0,5,1
196,80,84,32,76,84,32,3541,3760,1168,1168,1191,1,finishing,3,0,5,0
195,63,63,69,57,50,54,2852,2337,2133,2133,2353,1,finishing,0,0,4,0
153,58,55,40,47,36,28,1912,1347,1187,1187,1204,1,finishing,1,0,-2,0
87,28,28,31,23,26,28,930,1194,1244,930,903,0,cutting,0,0,-5,1
173,40,63,70,29,50,56,1374,2320,2013,1374,1674,1,cutting,9,1,20,0
165,62,57,46,45,41,32,2197,1573,1359,1359,1645,1,finishing,4,0,-4,0
136,33,60,43,29,44,28,1301,1726,1238,1238,1120,0,finishing,0,0,4,1
160,35,60,65,26,47,57,1248,2138,1728,1248,1461,1,cutting,1,1,11,0
144,36,74,34,35,74,33,1507,3357,1050,1050,1282,1,finishing,7,1,12,0
142,39,36,67,39,28,52,1596,1300,2274,1300,1352,1,sewing,1,0,-5,0
204,72,87,45,63,73,42,3167,3320,1779,1779,2048,1,finishing,9,1,18,0
155,64,28,63,45,26,60,1825,1045,2376,1045,915,0,sewing,0,0,-2,1
97,40,35,22,30,24,22,1439,1073,874,874,810,0,finishing,0,0,0,1
178,70,65,43,64,62,31,2665,2704,1314,1314,1431,1,finishing,0,0,0,0
149,80,53,16,56,48,15,2607,1785,470,470,465,0,finishing,0,0,-4,1
153,23,76,54,22,61,39,863,2388,1724,863,814,0,cutting,0,0,0,1
219,69,83,67,69,80,46,2838,2947,2032,2032,2241,1,finishing,7,1,10,0
194,72,61,61,71,42,52,2877,1893,1582,1582,1735,1,finishing,0,0,3,0
166,63,83,20,44,79,15,2208,3763,539,539,485,0,finishing,0,0,0,1
143,67,57,19,49,51,12,1897,2398,444,444,452,1,finishing,12,1,5,0
124,20,57,47,18,46,39,930,1996,1247,930,984,1,cutting,0,0,1,0
191,79,68,44,59,42,38,2828,1682,1288,1288,1258,0,finishing,0,0,1,1
197,75,60,62,63,49,49,3190,1846,2079,1846,2129,1,sewing,0,0,5,0
145,51,44,50,49,27,38,1963,1004,1160,1004,945,0,sewing,0,0,0,1
132,27,88,17,25,74,16,1146,2990,506,506,546,1,finishing,0,0,-2,0
139,31,46,62,29,35,58,1463,1476,2247,1463,1690,1,cutting,2,0,1,0
136,63,37,36,44,31,33,2276,1106,1174,1106,1184,1,sewing,0,0,1,0
203,73,86,44,71,68,28,3025,2353,1101,1101,1151,1,finishing,10,0,-6,0
167,71,61,35,50,59,23,2283,2503,721,721,635,0,finishing,0,0,6,1
171,75,76,20,52,58,15,2258,2298,595,595,643,1,finishing,12,1,13,0
155,77,41,37,74,27,37,3192,993,1357,993,984,0,sewing,0,0,3,1
146,47,36,63,45,32,59,1827,1370,1852,1370,1435,1,sewing,12,0,1,0
121,53,35,33,51,27,22,2585,1098,709,709,685,0,finishing,0,0,-3,1
165,53,79,33,38,51,21,1717,2098,760,760,780,1,finishing,10,0,2,0
122,21,39,62,21,28,45,1045,969,1630,969,1078,1,sewing,8,1,12,0
117,41,48,28,30,30,27,1248,1302,985,985,887,0,finishing,0,0,-6,1
160,30,86,44,27,82,37,1259,3906,1310,1259,1495,1,cutting,3,0,-3,0
113,27,27,59,21,16,44,939,576,1479,576,703,1,sewing,0,0,6,0
137,49,43,45,47,25,32,1895,903,1297,903,1033,1,sewing,4,0,0,0
105,23,67,15,17,60,15,815,2862,640,640,748,1,finishing,8,1,20,0
173,57,87,29,40,85,18,1756,3265,557,557,631,1,finishing,11,0,5,0
99,47,27,25,41,27,19,1827,1083,714,714,731,1,finishing,12,1,8,0
199,76,62,61,75,49,52,3724,2127,2132,2127,2573,1,sewing,5,1,6,0
171,62,86,23,48,63,16,2231,2230,579,579,643,1,finishing,0,0,-6,0
137,42,58,37,39,39,26,1934,1814,792,792,717,0,finishing,0,0,3,1
124,34,40,50,26,39,40,1349,1754,1661,1349,1566,1,cutting,9,1,7,0
139,65,31,43,59,31,30,3047,1393,1174,1174,1256,1,finishing,3,1,10,0
174,78,71,25,77,51,23,3747,2089,990,990,888,0,finishing,0,0,-4,1
120,27,50,43,24,30,34,1192,1218,1166,1166,1031,0,finishing,0,0,5,1
184,68,78,38,67,61,26,3252,2526,1087,1087,984,0,finishing,0,0,0,1
229,77,83,69,69,72,44,3049,3224,1793,1793,1749,0,finishing,0,0,-1,1
180,40,76,64,30,72,42,1305,2485,1841,1305,1206,0,cutting,0,0,4,1
168,65,62,41,57,58,35,2741,2226,1230,1230,1512,1,finishing,0,0,0,0
148,48,51,49,47,41,43,2296,1899,1344,1344,1345,1,finishing,9,1,13,1
116,33,36,47,31,30,46,1325,1286,1396,1286,1489,1,sewing,5,1,20,0
127,27,32,68,23,23,64,1037,821,2646,821,935,1,sewing,0,0,-1,0
126,35,54,37,28,41,34,1371,1804,1362,1362,1571,1,finishing,10,0,6,0
147,43,83,21,32,76,19,1252,2650,823,823,827,1,finishing,10,1,16,1
185,75,58,52,67,54,46,3480,2356,2033,2033,2304,1,finishing,8,1,8,0
225,65,90,70,61,61,67,2499,2478,2760,2478,2784,1,sewing,7,0,-1,0
135,56,62,17,55,41,11,2376,1962,380,380,392,1,finishing,1,1,13,1
165,76,61,28,58,59,25,2205,2458,775,775,707,0,finishing,0,0,-2,1
174,56,82,36,51,79,36,2452,3355,1491,1491,1501,1,finishing,12,0,6,0
144,65,28,51,65,28,42,2980,1000,1612,1000,930,0,sewing,0,0,3,1
150,68,31,51,63,21,48,2837,719,1913,719,752,1,sewing,0,0,5,0
174,73,81,20,68,68,19,3144,2779,836,836,822,0,finishing,0,0,-6,1
179,75,65,39,60,41,26,3103,1704,891,891,846,0,finishing,0,0,-4,1
174,39,77,58,29,49,56,1492,1790,2279,1492,1287,0,cutting,0,0,-4,1
143,46,66,31,38,65,21,1471,2428,818,818,749,0,finishing,0,0,2,1
115,44,39,32,30,33,27,1372,1152,821,821,856,0,finishing,0,0,2,0
124,57,37,30,56,26,23,2573,1046,981,981,1013,1,finishing,3,1,17,0
177,78,82,17,54,78,17,2521,3365,552,552,535,0,finishing,0,0,-2,1
183,58,57,68,52,45,64,2130,2059,2190,2059,1893,0,sewing,0,0,-5,1
115,39,36,40,38,24,39,1518,1002,1333,1002,1020,1,sewing,11,1,12,0
182,68,82,32,54,69,25,2211,3272,873,873,939,1,finishing,1,1,9,0
196,46,87,63,38,86,42,1862,3705,1308,1308,1253,0,finishing,0,0,4,1
125,48,40,37,45,35,30,1821,1566,1213,1213,1104,0,finishing,0,0,-3,1
103,48,26,29,33,19,28,1679,741,877,741,736,0,sewing,0,0,5,1
134,34,54,46,28,33,37,1257,1447,1446,1257,1229,0,cutting,0,0,4,1
154,45,39,70,35,39,60,1413,1431,2464,1413,1654,1,cutting,12,0,-2,0
181,79,54,48,78,40,37,3889,1372,1648,1372,1609,1,sewing,1,1,5,0
182,74,66,42,64,47,30,3041,1905,1062,1062,1302,1,finishing,7,1,14,0
122,20,75,27,16,47,26,788,2249,867,788,978,1,cutting,0,0,-1,0
127,39,33,55,37,20,35,1654,906,1361,906,903,0,sewing,0,0,-2,1
118,35,38,45,27,32,30,1336,1320,1006,1006,933,0,finishing,0,0,1,1
160,68,37,55,61,25,37,3150,1170,1319,1170,1390,1,sewing,0,0,6,0
114,48,32,34,46,20,23,2184,836,791,791,773,0,finishing,0,0,6,1
170,46,54,70,41,53,64,1564,2086,2683,1564,1835,1,cutting,1,1,14,0
127,57,49,21,42,29,14,1944,1327,609,609,557,0,finishing,0,0,-1,1
193,46,86,61,41,79,44,1697,3567,1359,1359,1232,0,finishing,0,0,4,1
172,68,70,34,65,70,30,3175,2524,1038,1038,1037,0,finishing,0,0,-6,0
114,53,43,18,44,41,11,1931,1506,363,363,438,1,finishing,12,1,18,0
194,58,67,69,58,58,54,2704,2311,1751,1751,1809,0,finishing,0,0,-3,0
158,78,25,55,61,18,49,2850,672,2009,672,750,1,sewing,0,0,-4,0
135,72,25,38,50,16,29,1921,569,996,569,526,0,sewing,0,0,6,1
89,43,30,16,33,21,12,1334,974,489,489,496,1,finishing,0,0,-2,0
131,78,37,16,75,26,13,3537,1206,455,455,413,0,finishing,0,0,-1,1
200,71,72,57,54,59,56,2718,2731,1734,1734,1682,0,finishing,0,0,6,1
130,32,49,49,28,40,41,1299,1907,1380,1299,1208,0,cutting,0,0,-3,1
201,74,62,65,55,47,49,2131,2121,2111,2111,2625,1,finishing,0,0,-5,0
220,70,85,65,70,55,47,3158,2448,1864,1864,1882,1,finishing,6,1,19,1
198,65,88,45,53,77,30,2167,3582,1103,1103,968,0,finishing,0,0,0,1
200,76,73,51,58,72,44,2410,2533,1816,1816,1666,0,finishing,0,0,-3,1
131,57,30,44,55,27,38,2418,1094,1373,1094,1218,1,sewing,0,0,-3,0
107,36,34,37,26,24,37,1170,999,1153,999,878,0,sewing,0,0,-5,1
112,24,71,17,24,48,13,978,1853,449,449,532,1,finishing,3,1,12,0
116,20,63,33,20,48,33,1039,2267,1396,1039,1093,1,cutting,3,1,11,0
130,34,51,45,26,46,43,1250,1861,1800,1250,1093,0,cutting,0,0,6,1
186,80,78,28,70,74,26,2689,2659,1120,1120,1059,0,finishing,0,0,1,1
177,71,70,36,56,55,29,2665,2180,1208,1208,1203,0,finishing,0,0,-6,0
108,56,29,23,43,22,23,2013,933,899,899,1120,1,finishing,9,1,19,0
144,26,67,51,25,60,42,982,2127,1608,982,922,0,cutting,0,0,1,1
96,21,48,27,15,40,21,613,1523,795,613,612,0,cutting,0,0,-6,0
166,30,66,70,27,51,50,1400,1826,1813,1400,1578,1,cutting,0,0,-3,0
186,39,80,67,38,78,48,1765,3677,1862,1765,1808,1,cutting,0,0,-4,0
148,48,33,67,45,28,50,2041,1308,2159,1308,1329,1,sewing,8,0,5,0
173,70,63,40,68,63,38,3393,2508,1242,1242,1247,1,finishing,12,1,16,1
124,64,30,30,49,22,29,2230,953,899,899,1106,1,finishing,9,0,-1,0
109,24,38,47,21,35,44,846,1291,1349,846,789,0,cutting,0,0,4,1
190,67,84,39,56,75,38,2280,2589,1282,1282,1381,1,finishing,8,0,2,0
178,62,56,60,57,37,54,2820,1693,1758,1693,1461,0,sewing,0,0,-2,1
127,27,75,25,19,66,16,902,2385,565,565,482,0,finishing,0,0,4,1
149,54,52,43,38,51,43,1785,2245,1868,1785,1775,0,cutting,0,0,-6,1
101,58,25,18,52,18,14,2248,672,439,439,460,1,finishing,0,0,4,0
98,24,53,21,18,36,13,788,1278,453,453,446,0,finishing,0,0,-3,1
196,79,75,42,58,52,33,2289,2003,997,997,968,0,finishing,0,0,-3,1
121,49,53,19,42,51,17,1621,2366,614,614,706,1,finishing,10,0,-5,0
179,58,66,55,52,60,39,2217,2573,1687,1687,1620,0,finishing,0,0,1,1
107,24,67,16,23,52,14,1080,1937,543,543,595,1,finishing,5,0,0,0
178,68,56,54,49,34,39,2118,1297,1258,1258,1075,0,finishing,0,0,5,1
201,58,81,62,50,56,48,2122,2520,1468,1468,1663,1,finishing,4,1,14,0
125,41,56,28,36,34,28,1866,1537,1132,1132,1090,0,finishing,0,0,2,1
131,40,48,43,38,28,29,1906,979,953,953,935,0,finishing,0,0,-3,1
90,28,36,26,28,27,19,1262,1079,703,703,615,0,finishing,0,0,0,1
121,31,56,34,25,51,29,1288,1877,1245,1245,1302,1,finishing,8,1,20,0
202,59,80,63,45,78,40,2190,3118,1249,1249,1386,1,finishing,3,0,1,0
155,39,83,33,33,79,22,1407,3476,724,724,760,1,finishing,6,1,17,0
217,80,75,62,67,57,55,2834,2726,1708,1708,2132,1,finishing,3,0,0,0
152,36,69,47,36,56,41,1719,2414,1799,1719,1888,0,cutting,0,0,-1,0
147,60,28,59,46,20,57,2041,870,1927,870,910,1,sewing,0,0,6,0
139,25,74,40,18,60,40,731,2395,1697,731,650,0,cutting,0,0,2,1
187,62,73,52,52,66,46,2523,3098,1979,1979,1829,0,finishing,0,0,6,1
117,42,43,32,40,31,31,1742,1187,1388,1187,1246,0,sewing,0,0,5,0
180,46,78,56,36,73,41,1456,2672,1312,1312,1325,1,finishing,4,0,-6,0
181,67,48,66,52,36,55,2296,1684,1740,1684,1644,0,sewing,0,0,-5,1
116,44,40,32,31,34,20,1432,1383,801,801,687,0,finishing,0,0,6,1
71,20,30,21,15,26,13,648,1073,577,577,526,0,finishing,0,0,6,1
156,41,79,36,33,68,28,1631,3207,1119,1119,1090,0,finishing,0,0,-1,1
208,75,67,66,55,40,56,2760,1585,2381,1585,1672,1,sewing,12,1,11,0
179,43,82,54,40,79,51,1751,2893,2284,1751,2123,0,cutting,0,0,-1,0
171,75,30,66,75,23,63,3316,977,2268,977,954,0,sewing,0,0,0,1
222,80,85,57,78,57,49,3284,2093,1575,1575,1599,1,finishing,3,1,6,0
148,39,84,25,34,57,23,1607,2130,763,763,901,0,finishing,0,0,0,0
118,65,28,25,55,22,20,2259,827,742,742,797,1,finishing,12,1,14,0
