total_workers,cutting_workers,sewing_workers,finishing_workers,cutting_attendance,sewing_attendance,finishing_attendance,cutting_output,sewing_output,finishing_output,final_output,daily_target,target_completion_rate
142,40,68,34,39,64,29,1128,1128,618,618,903,0.6844
192,77,70,45,73,67,43,2362,2129,1107,1107,975,1.1354
137,27,85,25,24,84,22,767,767,552,552,579,0.9534
94,40,33,21,36,32,17,1264,898,429,429,481,0.8919
185,65,70,50,52,53,38,1421,1355,709,709,1408,0.5036
165,65,78,22,63,65,19,1890,1890,403,403,549,0.7341
116,35,57,24,34,46,22,1105,1105,537,537,740,0.7257
135,58,48,29,56,47,28,2004,1582,665,665,654,1.0168
124,30,67,27,24,62,26,761,761,706,706,901,0.7836
116,33,50,33,30,43,28,887,887,711,711,902,0.7882
119,51,33,35,49,28,31,1418,705,705,705,856,0.8236
149,51,73,25,44,70,23,1513,1513,551,551,592,0.9307
168,39,89,40,34,80,39,1043,1043,987,987,1079,0.9147
178,63,75,40,62,74,40,1961,1811,1126,1126,992,1.1351
89,25,44,20,24,42,19,698,698,411,411,534,0.7697
187,77,81,29,74,81,28,2671,1979,658,658,607,1.084
167,78,58,31,66,55,25,1947,1525,616,616,882,0.6984
166,68,80,18,55,76,18,1846,1757,431,431,541,0.7967
141,59,37,45,48,30,42,1499,834,834,834,1252,0.6661
191,73,88,30,65,81,30,2134,2134,647,647,824,0.7852
171,48,75,48,43,60,40,1348,1348,885,885,2147,0.4122
131,24,71,36,24,70,35,861,861,861,861,770,1.1182
181,73,65,43,71,57,36,2045,1306,896,896,1053,0.8509
122,41,61,20,41,58,20,1591,1584,596,596,554,1.0758
140,73,41,26,72,40,25,2686,1118,687,687,617,1.1135
162,52,82,28,52,79,23,1601,1601,562,562,599,0.9382
165,46,89,30,43,79,25,1410,1410,514,514,786,0.6539
100,56,28,16,45,24,16,1286,578,442,442,537,0.8231
171,52,74,45,51,72,44,1547,1547,1070,1070,1034,1.0348
151,66,54,31,63,54,29,2209,1362,638,638,746,0.8552
162,80,64,18,71,55,16,2353,1444,329,329,405,0.8123
108,38,52,18,31,50,15,923,923,302,302,367,0.8229
125,32,49,44,25,40,34,697,697,697,697,1203,0.5794
188,64,74,50,63,64,41,2099,1643,837,837,856,0.9778
100,40,39,21,39,38,20,1237,959,490,490,678,0.7227
175,58,71,46,48,62,45,1346,1346,961,961,1088,0.8833
146,64,35,47,48,28,37,1329,625,625,625,1022,0.6115
109,24,45,40,21,37,31,574,574,560,560,1105,0.5068
135,69,43,23,54,36,20,1630,773,472,472,1138,0.4148
173,63,75,35,62,73,34,1957,1956,951,951,857,1.1097
154,43,61,50,42,58,49,1579,1579,1300,1300,1175,1.1064
140,65,49,26,57,40,23,1691,1053,529,529,1266,0.4179
185,76,81,28,63,70,26,1873,1873,526,526,649,0.8105
106,20,58,28,16,57,23,564,564,564,564,736,0.7663
153,77,58,18,64,54,17,1860,1412,385,385,420,0.9167
142,30,85,27,30,81,26,952,952,676,676,627,1.0781
82,29,26,27,26,20,20,766,400,400,400,784,0.5102
124,49,52,23,44,43,22,1487,1006,474,474,496,0.9556
110,59,28,23,58,27,23,2278,903,589,589,549,1.0729
170,64,89,17,52,71,16,1745,1745,406,406,424,0.9575
148,70,44,34,61,39,26,1821,791,520,520,1095,0.4749
126,38,48,40,32,37,31,958,943,643,643,1191,0.5399
174,64,79,31,63,79,30,2574,2359,767,767,679,1.1296
171,75,61,35,65,53,29,2324,1252,590,590,754,0.7825
121,49,45,27,40,39,26,1365,1057,575,575,674,0.8531
92,31,33,28,26,32,25,838,711,598,598,793,0.7541
161,58,85,18,44,65,15,1189,1189,330,330,601,0.5491
127,80,32,15,71,24,12,1969,620,230,230,538,0.4275
173,60,75,38,51,65,38,1652,1652,858,858,903,0.9502
144,59,44,41,49,39,34,1436,1120,936,936,1079,0.8675
189,74,79,36,59,64,30,1793,1639,618,618,1121,0.5513
124,35,74,15,29,68,13,1023,1023,267,267,330,0.8091
142,48,66,28,39,61,23,1292,1292,463,463,494,0.9372
139,61,48,30,60,46,30,2215,1483,787,787,724,1.087
117,22,78,17,21,70,16,659,659,436,436,494,0.8826
96,34,25,37,33,24,35,1248,647,647,647,602,1.0748
131,66,34,31,54,32,29,1828,914,585,585,782,0.7481
143,37,79,27,33,64,25,1015,1015,655,655,738,0.8875
124,42,50,32,36,43,31,1100,1100,767,767,1030,0.7447
71,28,27,16,23,26,15,769,749,403,403,416,0.9688
124,66,28,30,57,25,26,1612,517,477,477,1178,0.4049
104,31,49,24,31,49,24,1066,1066,660,660,643,1.0264
119,41,31,47,36,27,38,1242,605,605,605,897,0.6745
133,51,54,28,48,45,23,1508,1130,536,536,675,0.7941
124,23,61,40,19,61,37,590,590,590,590,688,0.8576
118,34,37,47,29,31,41,825,692,692,692,776,0.8918
131,54,55,22,41,44,19,1240,1198,435,435,933,0.4662
120,46,53,21,39,44,18,1192,973,340,340,605,0.562
139,56,48,35,55,47,34,1957,1252,1035,1035,925,1.1189
138,37,79,22,35,79,21,1199,1199,508,508,498,1.0201
139,54,70,15,51,62,13,1469,1469,322,322,462,0.697
154,61,52,41,60,50,40,1959,1421,1038,1038,925,1.1222
99,24,52,23,22,49,21,645,645,531,531,647,0.8207
123,29,60,34,29,59,33,1049,1049,910,910,897,1.0145
133,49,65,19,48,60,16,1655,1655,421,421,540,0.7796
110,20,45,45,16,34,40,508,508,508,508,1177,0.4316
124,25,52,47,19,46,37,617,617,617,617,1128,0.547
139,23,79,37,23,77,36,874,874,874,874,853,1.0246
130,52,42,36,52,40,35,2029,987,935,935,869,1.0759
149,70,55,24,68,53,23,2637,1316,650,650,616,1.0552
161,33,90,38,32,86,38,1248,1248,1121,1121,1073,1.0447
169,55,66,48,45,52,39,1139,1139,913,913,1453,0.6284
100,22,55,23,18,49,22,517,517,517,517,605,0.8545
102,32,38,32,31,37,32,1044,989,838,838,803,1.0436
174,55,76,43,44,65,33,1405,1405,623,623,1004,0.6205
155,75,61,19,72,61,18,2530,1571,511,511,477,1.0713
99,35,40,24,33,38,24,1233,922,621,621,563,1.103
131,44,51,36,42,50,35,1552,1439,1040,1040,953,1.0913
158,62,60,36,52,58,31,1869,1455,659,659,792,0.8321
108,20,59,29,18,56,24,584,584,584,584,779,0.7497
116,47,26,43,46,26,42,1745,729,729,729,656,1.1113
174,60,71,43,53,71,37,1738,1738,951,951,1255,0.7578
95,39,40,16,34,36,13,1191,796,282,282,362,0.779
80,23,34,23,19,31,20,664,664,502,502,613,0.8189
125,24,83,18,23,77,15,785,785,363,363,426,0.8521
79,31,33,15,30,33,14,1033,925,317,317,333,0.952
123,74,32,17,71,32,17,2175,866,407,407,359,1.1337
165,77,67,21,75,66,21,2836,1643,537,537,472,1.1377
188,77,85,26,71,78,21,2475,2317,527,527,595,0.8857
190,76,69,45,67,54,38,1699,1106,724,724,1787,0.4051
182,78,58,46,76,49,40,2176,1087,1007,1007,1511,0.6664
185,79,88,18,62,70,15,1651,1651,278,278,602,0.4618
174,58,74,42,52,63,39,1612,1612,884,884,916,0.9651
190,80,82,28,75,81,24,2526,2425,547,547,670,0.8164
118,25,63,30,22,60,25,790,790,681,681,831,0.8195
137,58,41,38,57,39,38,1945,1049,964,964,881,1.0942
145,68,44,33,55,43,27,1543,1278,668,668,931,0.7175
154,61,78,15,59,75,14,2041,2041,368,368,332,1.1084
153,51,64,38,49,61,37,1856,1593,1048,1048,998,1.0501
181,66,80,35,51,66,31,1403,1403,657,657,1382,0.4754
133,43,41,49,42,40,49,1666,1356,1296,1296,1259,1.0294
169,35,86,48,33,82,43,1128,1128,1097,1097,1334,0.8223
177,61,82,34,50,72,29,1463,1463,635,635,844,0.7524
147,79,28,40,66,22,35,1809,508,508,508,943,0.5387
145,40,62,43,38,57,42,1203,1203,990,990,1073,0.9226
137,64,29,44,56,24,43,1637,622,622,622,856,0.7266
182,80,56,46,66,55,37,2114,1384,816,816,1037,0.7869
195,79,68,48,78,66,46,2584,1607,1213,1213,1139,1.065
131,45,63,23,36,55,19,963,963,466,466,765,0.6092
180,74,72,34,63,63,30,2066,1662,643,643,949,0.6776
109,46,36,27,40,29,21,1029,583,451,451,745,0.6054
120,34,36,50,33,35,49,1255,901,901,901,791,1.1391
117,20,59,38,15,46,30,423,423,423,423,828,0.5109
149,76,29,44,61,25,36,1951,599,599,599,620,0.9661
106,30,34,42,25,28,34,789,706,706,706,948,0.7447
132,77,30,25,67,26,21,2393,696,421,421,540,0.7796
92,30,43,19,24,43,18,853,853,448,448,519,0.8632
130,51,46,33,43,40,31,1235,990,782,782,967,0.8087
88,23,45,20,20,41,16,567,567,383,383,413,0.9274
83,26,35,22,26,33,21,969,933,630,630,606,1.0396
177,64,83,30,64,83,29,2026,2026,893,893,852,1.0481
165,80,64,21,71,62,19,2132,1491,447,447,574,0.7787
185,58,77,50,50,66,44,1536,1536,1095,1095,1976,0.5541
130,29,66,35,28,65,34,900,900,880,880,871,1.0103
151,44,81,26,43,79,26,1514,1514,734,734,673,1.0906
155,59,54,42,57,52,40,2174,1361,936,936,886,1.0564
119,21,64,34,21,64,30,673,673,626,626,796,0.7864
158,60,73,25,60,70,24,2100,1938,685,685,650,1.0538
127,67,40,20,54,34,18,1447,768,393,393,801,0.4906
139,32,85,22,31,83,21,1163,1163,590,590,551,1.0708
115,40,25,50,40,20,44,1120,542,542,542,618,0.877
182,78,69,35,64,60,31,1942,1533,636,636,746,0.8525
198,78,87,33,77,83,32,2337,2171,859,859,751,1.1438
98,42,31,25,41,30,25,1438,850,724,724,651,1.1121
153,65,53,35,63,51,35,2038,1441,1068,1068,1016,1.0512
155,72,41,42,71,40,41,2513,1054,1054,1054,960,1.0979
147,51,72,24,49,72,23,1768,1768,569,569,495,1.1495
174,62,63,49,52,56,40,1400,1400,902,902,1425,0.633
79,25,30,24,24,28,23,833,631,630,630,696,0.9052
172,70,85,17,67,73,15,2038,1755,327,327,356,0.9185
148,74,57,17,73,57,16,2435,1568,461,461,428,1.0771
163,26,89,48,22,88,47,648,648,648,648,696,0.931
110,25,58,27,25,58,27,719,719,699,699,747,0.9357
158,63,76,19,55,70,16,1566,1566,409,409,557,0.7343
94,25,41,28,25,36,27,725,725,591,591,630,0.9381
127,22,86,19,22,84,18,852,852,407,407,374,1.0882
100,29,56,15,23,43,13,593,593,223,223,434,0.5138
159,45,66,48,42,60,42,1471,1471,1098,1098,1246,0.8812
173,59,90,24,45,71,19,1240,1240,381,381,608,0.6266
185,71,79,35,70,78,35,2625,1928,1072,1072,1020,1.051
164,72,71,21,72,68,21,2878,2301,546,546,510,1.0706
174,79,58,37,71,50,31,2420,1423,649,649,826,0.7857
120,26,55,39,24,52,37,836,836,836,836,1133,0.7379
125,27,64,34,25,52,27,711,711,606,606,932,0.6502
115,36,40,39,35,40,39,1398,1187,1173,1173,1038,1.1301
119,32,38,49,32,37,48,1143,1143,1143,1143,1061,1.0773
100,38,28,34,31,28,32,1097,794,723,723,1085,0.6664
125,61,47,17,54,44,16,1536,976,355,355,374,0.9492
104,30,48,26,25,37,21,740,740,451,451,962,0.4688
119,33,68,18,27,56,18,947,947,361,361,515,0.701
164,80,54,30,72,51,26,2434,1409,613,613,890,0.6888
188,78,75,35,65,59,30,1723,1237,668,668,1048,0.6374
120,60,37,23,60,36,23,2034,1154,711,711,690,1.0304
113,45,32,36,37,28,33,1064,693,693,693,787,0.8806
121,41,60,20,36,49,18,1020,1020,477,477,548,0.8704
179,53,83,43,50,82,43,1512,1512,1188,1188,1088,1.0919
108,61,25,22,53,20,20,1573,467,372,372,754,0.4934
186,80,56,50,70,45,38,2211,961,743,743,1411,0.5266
138,35,82,21,32,76,17,926,926,365,365,449,0.8129
126,30,69,27,26,62,25,790,790,559,559,581,0.9621
187,79,85,23,65,75,20,1698,1698,389,389,737,0.5278
161,75,70,16,62,69,14,1811,1811,389,389,511,0.7613
136,50,36,50,47,30,42,1409,677,677,677,694,0.9755
122,59,29,34,55,26,30,1684,670,670,670,843,0.7948
172,49,84,39,47,69,33,1634,1634,870,870,1050,0.8286
152,51,75,26,48,75,23,1675,1675,560,560,704,0.7955
130,44,47,39,43,47,38,1496,1188,1069,1069,956,1.1182
126,24,64,38,19,52,30,528,528,528,528,982,0.5377
135,20,75,40,17,58,34,491,491,491,491,1120,0.4384
143,58,36,49,56,35,48,1775,804,804,804,1056,0.7614
134,30,72,32,29,71,29,839,839,638,638,915,0.6973
81,28,37,16,24,29,12,669,594,234,234,478,0.4895
160,58,68,34,48,58,28,1361,1354,699,699,1414,0.4943
136,37,73,26,31,58,25,1099,1099,517,517,707,0.7313
193,76,70,47,67,65,39,1970,1486,930,930,1231,0.7555
169,62,59,48,61,57,47,1970,1595,1198,1198,1116,1.0735
167,71,50,46,56,39,37,1794,1026,884,884,2008,0.4402
136,68,28,40,58,25,33,1733,605,605,605,820,0.7378
157,78,43,36,69,42,35,2335,1200,783,783,831,0.9422
171,61,73,37,53,68,32,1856,1845,801,801,855,0.9368
130,57,45,28,55,44,25,1570,1313,665,665,823,0.808
118,59,39,20,47,35,15,1277,918,272,272,454,0.5991
90,25,49,16,22,39,14,640,640,337,337,590,0.5712
172,67,64,41,58,63,39,1917,1886,814,814,955,0.8524
136,24,83,29,21,63,25,629,629,544,544,908,0.5991
193,64,80,49,61,79,47,1740,1740,993,993,1086,0.9144
135,28,66,41,25,56,36,744,744,744,744,1479,0.503
161,61,51,49,54,39,37,1580,804,776,776,1837,0.4224
153,62,67,24,58,64,21,2071,1650,578,578,805,0.718
141,50,63,28,49,60,27,1713,1460,658,658,620,1.0613
175,78,55,42,59,47,33,1441,1059,761,761,1235,0.6162
135,32,53,50,26,43,42,708,708,708,708,1329,0.5327
143,62,60,21,52,57,17,1713,1571,396,396,513,0.7719
141,34,61,46,34,60,45,1379,1379,1252,1252,1195,1.0477
166,75,44,47,73,44,39,2550,1168,825,825,839,0.9833
165,62,71,32,61,71,27,2029,1912,567,567,642,0.8832
132,39,70,23,34,58,18,979,979,418,418,919,0.4548
87,34,25,28,33,24,28,1201,643,643,643,623,1.0321
97,34,43,20,28,36,18,763,763,406,406,944,0.4301
169,58,85,26,45,76,21,1153,1153,489,489,965,0.5067
146,45,86,15,36,81,15,1267,1267,409,409,520,0.7865
91,41,32,18,41,31,18,1429,912,502,502,460,1.0913
119,23,68,28,21,61,23,610,610,473,473,499,0.9479
97,22,35,40,21,35,38,730,730,730,730,688,1.061
161,48,90,23,43,77,20,1455,1455,542,542,573,0.9459
107,34,55,18,28,53,17,843,843,469,469,498,0.9418
119,23,53,43,19,41,37,624,624,624,624,1227,0.5086
184,79,59,46,71,48,41,2437,1203,887,887,970,0.9144
149,24,80,45,23,76,45,760,760,760,760,739,1.0284
131,23,60,48,22,59,47,829,829,829,829,738,1.1233
95,35,31,29,32,26,26,918,741,646,646,819,0.7888
110,40,38,32,31,33,27,903,837,611,611,1500,0.4073
162,57,89,16,54,85,15,2081,2081,436,436,381,1.1444
160,75,54,31,72,53,30,2713,1327,829,829,764,1.0851
117,59,40,18,54,37,15,1691,1102,347,347,466,0.7446
132,59,30,43,45,23,39,1352,580,580,580,1065,0.5446
176,53,89,34,52,78,32,1814,1814,835,835,867,0.9631
151,78,29,44,62,24,36,1605,537,537,537,1289,0.4166
144,41,64,39,33,57,36,1080,1080,844,844,1154,0.7314
100,24,30,46,24,29,45,933,753,753,753,694,1.085
166,38,80,48,37,77,47,1177,1177,1149,1149,1032,1.1134
160,28,88,44,21,70,37,632,632,632,632,1186,0.5329
137,50,50,37,41,48,34,1281,1281,724,724,769,0.9415
136,71,43,22,71,41,22,2522,1164,534,534,513,1.0409
134,47,51,36,45,44,33,1312,1305,811,811,908,0.8932
133,58,33,42,57,31,41,2152,1020,1020,1020,907,1.1246
170,56,71,43,49,56,35,1420,1392,892,892,1500,0.5947
98,36,33,29,34,27,24,1163,643,487,487,705,0.6908
131,64,39,28,59,36,26,2083,826,712,712,722,0.9861
99,32,42,25,31,42,25,942,942,641,641,602,1.0648
144,51,75,18,43,71,16,1227,1227,391,391,456,0.8575
105,36,49,20,35,47,20,1124,1124,576,576,569,1.0123
153,34,74,45,33,71,45,1014,1014,1014,1014,1342,0.7556
135,79,38,18,67,34,17,2149,949,450,450,597,0.7538
101,54,25,22,46,21,22,1291,494,494,494,509,0.9705
158,21,88,49,20,87,47,642,642,642,642,627,1.0239
190,79,86,25,68,71,20,2182,1676,445,445,455,0.978
146,63,51,32,51,46,26,1624,1209,546,546,613,0.8907
149,79,30,40,65,25,32,1612,614,614,614,1011,0.6073
130,26,72,32,25,69,31,836,836,795,795,724,1.0981
111,58,38,15,58,31,13,1933,883,279,279,294,0.949
159,36,86,37,35,71,37,1132,1132,842,842,1119,0.7525
148,80,42,26,62,37,21,1817,784,391,391,908,0.4306
152,77,50,25,77,49,25,2534,1525,572,572,544,1.0515
156,73,41,42,60,36,37,1764,732,732,732,1815,0.4033
107,43,48,16,36,44,13,1278,1164,321,321,439,0.7312
138,33,63,42,29,57,39,1017,1017,878,878,1234,0.7115
100,45,35,20,43,34,19,1690,947,523,523,504,1.0377
125,22,58,45,21,58,43,618,618,618,618,805,0.7677
78,25,30,23,24,29,22,854,722,648,648,566,1.1449
137,72,35,30,69,34,27,2315,751,751,751,866,0.8672
101,37,28,36,31,22,32,917,508,508,508,1265,0.4016
110,28,49,33,24,44,33,758,758,758,758,917,0.8266
180,63,84,33,60,81,32,2034,2034,960,960,922,1.0412
148,57,65,26,47,53,26,1673,1333,602,602,682,0.8827
135,61,53,21,59,52,20,2297,1738,465,465,451,1.031
141,36,55,50,35,55,48,1353,1353,1173,1173,1041,1.1268
111,31,55,25,24,46,21,662,662,503,503,1179,0.4266
103,36,40,27,33,40,23,1113,1099,598,598,640,0.9344
104,41,43,20,40,42,16,1383,1224,442,442,503,0.8787
138,63,46,29,51,38,24,1721,867,582,582,865,0.6728
111,27,49,35,27,43,33,862,862,853,853,1129,0.7555
155,59,68,28,57,68,26,1659,1659,705,705,755,0.9338
126,40,49,37,40,48,37,1454,1454,1000,1000,947,1.056
118,72,30,16,70,30,16,2181,962,474,474,458,1.0349
141,58,61,22,58,59,21,2240,1816,587,587,554,1.0596
119,45,30,44,38,25,36,1331,699,699,699,741,0.9433
96,20,44,32,17,43,31,509,509,509,509,588,0.8656
130,63,40,27,52,31,22,1550,791,466,466,831,0.5608
154,59,79,16,49,78,16,1713,1713,447,447,462,0.9675
174,74,63,37,70,53,34,2049,1467,764,764,778,0.982
126,33,43,50,33,38,43,1045,872,872,872,928,0.9397
157,75,64,18,74,64,18,2914,1683,458,458,417,1.0983
160,43,77,40,42,72,38,1294,1294,1037,1037,1288,0.8051
116,43,50,23,41,49,22,1424,1210,515,515,450,1.1444
120,39,47,34,33,44,33,1145,1143,683,683,739,0.9242
125,55,25,45,46,25,40,1545,694,694,694,713,0.9734
109,40,28,41,38,24,39,1208,650,650,650,684,0.9503
146,25,81,40,21,80,33,703,703,703,703,1077,0.6527
194,70,80,44,57,77,37,1834,1834,1002,1002,1085,0.9235
126,75,31,20,74,30,19,2596,1019,435,435,403,1.0794
103,43,40,20,38,31,17,1051,773,421,421,687,0.6128
118,34,47,37,29,46,31,828,828,682,682,893,0.7637
134,43,75,16,37,66,13,1218,1218,282,282,502,0.5618
102,43,37,22,41,35,22,1359,842,500,500,450,1.1111
159,65,76,18,64,72,18,2236,2189,545,545,502,1.0857
178,68,76,34,61,61,26,1920,1253,643,643,1491,0.4313
173,70,87,16,54,67,14,1605,1374,292,292,602,0.485
87,35,30,22,35,30,22,1345,796,581,581,513,1.1326
144,68,59,17,62,49,14,1922,1202,287,287,428,0.6706
98,30,33,35,23,26,29,651,601,557,557,1134,0.4912
115,24,68,23,21,66,22,669,669,524,524,661,0.7927
160,79,35,46,63,28,37,1664,672,672,672,1088,0.6176
147,40,87,20,37,74,20,1310,1310,473,473,508,0.9311
135,21,90,24,21,88,23,685,685,618,618,579,1.0674
129,62,27,40,52,26,38,1646,645,645,645,835,0.7725
121,23,52,46,20,45,38,714,714,714,714,801,0.8914
104,30,32,42,25,31,41,804,742,742,742,1069,0.6941
194,76,69,49,65,62,42,2073,1425,1171,1171,1309,0.8946
95,24,50,21,24,50,21,969,969,594,594,540,1.1
118,70,31,17,68,31,16,2261,967,438,438,406,1.0788
157,78,54,25,66,49,24,2350,1358,510,510,730,0.6986
135,33,57,45,33,56,43,1135,1135,1135,1135,1091,1.0403
191,69,79,43,67,77,42,2096,2032,1128,1128,1114,1.0126
150,28,72,50,25,58,40,749,749,749,749,843,0.8885
108,66,25,17,62,22,16,1754,557,383,383,462,0.829
146,70,42,34,69,41,34,2422,1335,997,997,881,1.1317
115,41,42,32,33,33,26,866,704,485,485,815,0.5951
148,67,44,37,50,34,32,1390,863,784,784,1687,0.4647
168,35,89,44,31,74,42,901,901,901,901,945,0.9534
145,69,42,34,61,35,32,1832,770,770,770,869,0.8861
138,63,27,48,56,24,41,1833,606,606,606,693,0.8745
121,35,54,32,29,41,27,796,796,547,547,1182,0.4628
148,39,87,22,35,80,22,1191,1191,600,600,718,0.8357
119,24,59,36,21,49,31,607,607,607,607,1083,0.5605
146,60,67,19,59,67,18,1900,1900,533,533,465,1.1462
141,52,65,24,51,62,23,2069,1562,600,600,561,1.0695
172,77,70,25,61,62,20,1674,1496,487,487,947,0.5143
116,41,40,35,34,33,32,1056,738,738,738,1061,0.6956
152,28,82,42,27,81,41,880,880,880,880,818,1.0758
118,49,38,31,39,34,23,1078,709,400,400,812,0.4926
116,41,38,37,40,36,36,1475,1130,820,820,793,1.034
150,35,86,29,28,75,26,850,850,656,656,929,0.7061
111,35,33,43,32,28,41,1002,726,726,726,783,0.9272
99,33,40,26,27,36,26,931,823,672,672,814,0.8256
152,39,64,49,30,50,38,953,953,792,792,1370,0.5781
151,74,60,17,64,52,13,1870,1226,266,266,565,0.4708
117,41,28,48,34,24,40,1116,596,596,596,771,0.773
186,78,87,21,68,84,18,2434,2073,495,495,573,0.8639
113,43,31,39,38,27,34,1012,691,641,641,1126,0.5693
114,23,59,32,23,58,31,778,778,778,778,704,1.1051
135,46,71,18,39,60,17,1187,1187,391,391,421,0.9287
185,75,61,49,72,60,48,2352,1598,1403,1403,1235,1.136
135,22,65,48,19,55,42,608,608,608,608,1361,0.4467
147,54,52,41,46,46,35,1483,1008,833,833,1707,0.488
168,45,87,36,42,73,29,1381,1381,706,706,1027,0.6874
106,23,36,47,18,32,41,555,555,555,555,976,0.5686
111,58,27,26,54,23,25,1713,633,633,633,648,0.9769
198,64,85,49,52,69,41,1704,1704,882,882,2001,0.4408
136,31,90,15,31,88,15,1057,1057,442,442,433,1.0208
132,31,56,45,26,51,42,763,763,763,763,987,0.773
138,26,77,35,25,77,34,909,909,888,888,857,1.0362
163,56,88,19,50,86,19,1604,1604,422,422,442,0.9548
180,50,90,40,48,74,33,1508,1508,870,870,1143,0.7612
128,44,65,19,43,59,15,1428,1428,304,304,354,0.8588
118,24,56,38,20,53,36,585,585,585,585,744,0.7863
127,36,51,40,35,51,38,1276,1276,885,885,839,1.0548
116,50,32,34,46,30,32,1402,787,739,739,1025,0.721
183,52,86,45,46,72,41,1515,1515,942,942,1050,0.8971
161,54,64,43,47,53,33,1435,1097,580,580,1300,0.4462
83,41,27,15,37,23,13,981,526,246,246,604,0.4073
186,75,69,42,60,54,34,1512,1341,691,691,1348,0.5126
113,33,31,49,29,25,47,1000,703,703,703,756,0.9299
153,78,37,38,77,35,37,2411,1053,874,874,821,1.0646
133,28,78,27,27,69,25,842,842,560,560,623,0.8989
185,78,69,38,66,64,34,2045,1916,796,796,876,0.9087
137,44,67,26,38,53,20,1105,1105,428,428,824,0.5194
95,42,34,19,33,28,16,871,591,407,407,911,0.4468
135,32,68,35,27,52,29,899,899,617,617,1482,0.4163
188,72,82,34,72,67,29,2226,1673,710,710,770,0.9221
188,56,90,42,46,77,34,1307,1307,689,689,1209,0.5699
120,36,57,27,36,47,26,1015,1015,725,725,877,0.8267
181,44,90,47,37,75,38,1212,1212,1016,1016,1189,0.8545
120,24,62,34,19,50,30,645,645,645,645,799,0.8073
167,70,56,41,65,55,38,1993,1462,1050,1050,1108,0.9477
108,23,46,39,23,40,34,722,722,722,722,762,0.9475
164,66,64,34,56,64,33,1862,1789,789,789,969,0.8142
91,27,31,33,22,27,28,607,571,571,571,973,0.5868
153,65,58,30,63,57,30,2338,1361,782,782,734,1.0654
157,45,66,46,37,59,37,1269,1269,796,796,1074,0.7412
148,20,83,45,19,82,44,718,718,718,718,703,1.0213
103,21,67,15,20,66,15,737,737,354,354,309,1.1456
114,39,26,49,37,25,43,1244,644,644,644,745,0.8644
126,54,54,18,53,53,17,1625,1625,477,477,457,1.0438
112,40,52,20,40,51,20,1479,1374,486,486,430,1.1302
117,42,32,43,36,28,36,1055,597,597,597,977,0.6111
142,68,45,29,56,38,28,1698,1112,740,740,1065,0.6948
119,31,70,18,30,68,18,1095,1095,521,521,495,1.0525
73,23,34,16,22,33,16,720,720,378,378,357,1.0588
109,33,49,27,33,41,22,1173,963,600,600,769,0.7802
149,64,40,45,59,40,40,2048,1092,1010,1010,1221,0.8272
162,43,77,42,42,75,42,1500,1500,967,967,910,1.0626
124,43,62,19,41,57,18,1183,1183,370,370,523,0.7075
140,37,82,21,30,71,20,1033,1033,463,463,472,0.9809
160,66,70,24,65,70,24,2394,2122,541,541,521,1.0384
177,48,83,46,46,79,41,1531,1531,1026,1026,1129,0.9088
88,20,32,36,17,29,32,565,565,565,565,633,0.8926
178,73,67,38,63,53,32,1766,1144,623,623,1097,0.5679
180,78,56,46,64,48,46,2153,1231,1231,1231,1432,0.8596
133,22,62,49,21,56,47,675,675,675,675,879,0.7679
119,49,39,31,47,38,31,1733,1211,746,746,671,1.1118
176,72,54,50,55,46,38,1408,1020,870,870,1898,0.4584
133,49,65,19,40,52,14,1050,1050,293,293,477,0.6143
77,25,26,26,21,21,22,582,550,522,522,1121,0.4657
139,73,45,21,69,44,20,2327,1326,515,515,494,1.0425
157,29,88,40,28,85,38,1074,1074,1074,1074,1014,1.0592
156,50,84,22,40,75,17,1075,1075,344,344,663,0.5189
162,80,57,25,64,46,22,2047,1230,505,505,930,0.543
164,49,74,41,42,64,38,1203,1203,981,981,1094,0.8967
165,49,84,32,48,77,31,1537,1537,822,822,1193,0.689
131,24,66,41,23,54,36,720,720,720,720,999,0.7207
113,24,62,27,23,61,25,817,817,645,645,710,0.9085
118,27,48,43,23,41,39,813,813,813,813,1163,0.6991
135,23,72,40,22,68,33,757,757,714,714,952,0.75
147,56,42,49,54,40,47,1702,1022,1022,1022,900,1.1356
128,44,59,25,36,58,23,1250,1250,539,539,546,0.9872
121,65,40,16,58,34,14,1716,772,357,357,414,0.8623
172,57,70,45,55,68,44,2107,1674,1106,1106,1051,1.0523
159,61,57,41,49,49,35,1595,1401,919,919,1002,0.9172
132,38,64,30,33,59,27,1111,1111,615,615,861,0.7143
161,58,76,27,56,62,26,1612,1612,694,694,744,0.9328
105,27,29,49,26,28,48,958,777,777,777,705,1.1021
164,68,53,43,58,51,40,1803,1210,805,805,880,0.9148
123,36,64,23,28,57,18,774,774,338,338,541,0.6248
128,46,36,46,38,34,38,1171,944,944,944,1070,0.8822
111,24,68,19,23,67,18,801,801,510,510,451,1.1308
169,70,70,29,67,70,29,2448,1854,664,664,635,1.0457
167,70,73,24,60,59,20,1497,1350,424,424,846,0.5012
141,48,70,23,47,68,23,1620,1620,731,731,679,1.0766
102,42,33,27,34,30,22,1172,673,606,606,846,0.7163
124,59,32,33,59,30,32,2254,978,763,763,751,1.016
104,25,47,32,22,41,26,704,704,583,583,980,0.5949
170,67,79,24,60,69,19,1799,1494,463,463,949,0.4879
145,21,86,38,17,77,29,451,451,451,451,1097,0.4111
